"GEO","TIME","UNIT","NA_ITEM","Value","Flag and Footnotes"
"European Union - 27 countries (from 2020)","1975","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1975","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1975","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1976","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1976","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1976","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1977","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1977","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1977","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1978","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1978","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1978","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1979","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1979","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1979","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1980","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1980","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1980","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1981","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1981","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1981","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1982","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1982","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1982","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1983","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1983","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1983","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1984","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1984","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1984","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1985","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1985","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1985","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1986","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1986","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1986","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1987","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1987","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1987","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1988","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1988","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1988","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1989","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1989","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1989","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1990","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1990","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1990","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1991","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1991","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1991","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1992","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1992","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1992","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1993","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1993","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1993","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Current prices, million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1994","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"European Union - 27 countries (from 2020)","1995","Chain linked volumes, index 2010=100","Gross domestic product at market prices","76.109",""
"European Union - 27 countries (from 2020)","1995","Current prices, million euro","Gross domestic product at market prices","6,337,767.2",""
"European Union - 27 countries (from 2020)","1995","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,356,984.4",""
"European Union - 27 countries (from 2020)","1996","Chain linked volumes, index 2010=100","Gross domestic product at market prices","77.450",""
"European Union - 27 countries (from 2020)","1996","Current prices, million euro","Gross domestic product at market prices","6,636,555.1",""
"European Union - 27 countries (from 2020)","1996","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,504,218.1",""
"European Union - 27 countries (from 2020)","1997","Chain linked volumes, index 2010=100","Gross domestic product at market prices","79.509",""
"European Union - 27 countries (from 2020)","1997","Current prices, million euro","Gross domestic product at market prices","6,819,250.1",""
"European Union - 27 countries (from 2020)","1997","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,730,326.2",""
"European Union - 27 countries (from 2020)","1998","Chain linked volumes, index 2010=100","Gross domestic product at market prices","81.897",""
"European Union - 27 countries (from 2020)","1998","Current prices, million euro","Gross domestic product at market prices","7,110,925.9",""
"European Union - 27 countries (from 2020)","1998","Chain linked volumes (2010), million euro","Gross domestic product at market prices","8,992,553.7",""
"European Union - 27 countries (from 2020)","1999","Chain linked volumes, index 2010=100","Gross domestic product at market prices","84.313",""
"European Union - 27 countries (from 2020)","1999","Current prices, million euro","Gross domestic product at market prices","7,430,972.4",""
"European Union - 27 countries (from 2020)","1999","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,257,808.6",""
"European Union - 27 countries (from 2020)","2000","Chain linked volumes, index 2010=100","Gross domestic product at market prices","87.571",""
"European Union - 27 countries (from 2020)","2000","Current prices, million euro","Gross domestic product at market prices","7,869,397.3",""
"European Union - 27 countries (from 2020)","2000","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,615,542.5",""
"European Union - 27 countries (from 2020)","2001","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.439",""
"European Union - 27 countries (from 2020)","2001","Current prices, million euro","Gross domestic product at market prices","8,241,913.5",""
"European Union - 27 countries (from 2020)","2001","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,820,657.3",""
"European Union - 27 countries (from 2020)","2002","Chain linked volumes, index 2010=100","Gross domestic product at market prices","90.381",""
"European Union - 27 countries (from 2020)","2002","Current prices, million euro","Gross domestic product at market prices","8,538,761.6",""
