time,country,motor,value
2013,Belgium,petroleum,169665
2013,Belgium,other,340
2013,Belgium,diesel,319863
2013,Belgium,electricity,501
2013,Belgium,hybrid,5832
2013,Denmark,petroleum,122644
2013,Denmark,other,0
2013,Denmark,diesel,57435
2013,Denmark,electricity,0
2013,Denmark,hybrid,0
2013,Germany,petroleum,1502784
2013,Germany,other,40483
2013,Germany,diesel,1403113
2013,Germany,electricity,6051
2013,Germany,hybrid,0
2013,Estonia,petroleum,12208
2013,Estonia,other,7
2013,Estonia,diesel,7345
2013,Estonia,electricity,130
2013,Estonia,hybrid,195
2013,Ireland,petroleum,0
2013,Ireland,other,0
2013,Ireland,diesel,0
2013,Ireland,electricity,0
2013,Ireland,hybrid,0
2013,Spain,petroleum,0
2013,Spain,other,0
2013,Spain,diesel,0
2013,Spain,electricity,0
2013,Spain,hybrid,0
2013,France,petroleum,562849
2013,France,other,3194
2013,France,diesel,1182129
2013,France,electricity,8781
2013,France,hybrid,46730
2013,Croatia,petroleum,15245
2013,Croatia,other,269
2013,Croatia,diesel,31046
2013,Croatia,electricity,3
2013,Croatia,hybrid,0
2013,Italy,petroleum,419045
2013,Italy,other,184648
2013,Italy,diesel,707641
2013,Italy,electricity,0
2013,Italy,hybrid,0
2013,Cyprus,petroleum,11758
2013,Cyprus,other,0
2013,Cyprus,diesel,2998
2013,Cyprus,electricity,15
2013,Cyprus,hybrid,160
2013,Latvia,petroleum,14293
2013,Latvia,other,0
2013,Latvia,diesel,41502
2013,Latvia,electricity,0
2013,Latvia,hybrid,0
2013,Lithuania,petroleum,44919
2013,Lithuania,other,530
2013,Lithuania,diesel,110402
2013,Lithuania,electricity,4
2013,Lithuania,hybrid,0
2013,Hungary,petroleum,52677
2013,Hungary,other,1898
2013,Hungary,diesel,72343
2013,Hungary,electricity,19
2013,Hungary,hybrid,0
2013,Malta,petroleum,7800
2013,Malta,other,9
2013,Malta,diesel,5267
2013,Malta,electricity,18
2013,Malta,hybrid,41
2013,Netherlands,petroleum,307912
2013,Netherlands,other,5248
2013,Netherlands,diesel,103557
2013,Netherlands,electricity,0
2013,Netherlands,hybrid,43326
2013,Austria,petroleum,136689
2013,Austria,other,631
2013,Austria,diesel,181061
2013,Austria,electricity,654
2013,Austria,hybrid,2573
2013,Poland,petroleum,449741
2013,Poland,other,69178
2013,Poland,diesel,468097
2013,Poland,electricity,793
2013,Poland,hybrid,0
2013,Portugal,petroleum,0
2013,Portugal,other,0
2013,Portugal,diesel,0
2013,Portugal,electricity,0
2013,Portugal,hybrid,0
2013,Romania,petroleum,141921
2013,Romania,other,567
2013,Romania,diesel,136673
2013,Romania,electricity,579
2013,Romania,hybrid,0
2013,Slovenia,petroleum,23942
2013,Slovenia,other,0
2013,Slovenia,diesel,28016
2013,Slovenia,electricity,0
2013,Slovenia,hybrid,0
2013,Finland,petroleum,64194
2013,Finland,other,509
2013,Finland,diesel,38697
2013,Finland,electricity,50
2013,Finland,hybrid,0
2013,Sweden,petroleum,108067
2013,Sweden,other,7158
2013,Sweden,diesel,176485
2013,Sweden,electricity,452
2013,Sweden,hybrid,6281
2013,United Kingdom,petroleum,0
2013,United Kingdom,other,0
2013,United Kingdom,diesel,0
2013,United Kingdom,electricity,0
2013,United Kingdom,hybrid,0
2013,Liechtenstein,petroleum,1041
2013,Liechtenstein,other,7
2013,Liechtenstein,diesel,858
2013,Liechtenstein,electricity,14
2013,Liechtenstein,hybrid,42
2013,Norway,petroleum,67701
2013,Norway,other,884
2013,Norway,diesel,97464
2013,Norway,electricity,9970
2013,Norway,hybrid,0
2013,Switzerland,petroleum,191300
2013,Switzerland,other,900
2013,Switzerland,diesel,116600
2013,Switzerland,electricity,1400
2013,Switzerland,hybrid,7200
2013,North Macedonia,petroleum,8868
2013,North Macedonia,other,281
2013,North Macedonia,diesel,22778
2013,North Macedonia,electricity,0
2013,North Macedonia,hybrid,0
2013,Turkey,petroleum,256506
2013,Turkey,other,14315
2013,Turkey,diesel,383904
2013,Turkey,electricity,180
2013,Turkey,hybrid,27
2014,Belgium,petroleum,181524
2014,Belgium,other,1067
2014,Belgium,diesel,303953
2014,Belgium,electricity,1167
2014,Belgium,hybrid,8326
2014,Denmark,petroleum,127172
2014,Denmark,other,0
2014,Denmark,diesel,59544
2014,Denmark,electricity,0
