country,ssm,gini,ppp,spi,nat_p,max_ev_p
Austria,1.0,30.5,52558.0,86.76,26.0,3.7957706166537153
Belgium,1.0,28.1,47561.0,87.39,24.0,4.672966725722512
Croatia,0.0,32.2,25264.0,79.6,5.8,0.10784432671438778
Cyprus,0.0,35.6,34504.0,82.85,3.71,3.723006200555912
Denmark,1.0,28.5,50541.0,89.96,21.1,2.0
Estonia,0.0,34.6,31638.0,83.49,17.98,4.524768725753506
Finland,1.0,26.8,45192.0,89.77,17.7,8.922979622688077
France,1.0,32.3,42779.0,87.88,13.2,4.925790840950758
Germany,1.0,31.4,50715.0,89.21,14.1,0.7219297098162963
Hungary,0.0,30.9,28375.0,80.11,68.27,0.4644486971882821
Ireland,1.0,31.9,76305.0,88.82,13.8,0.4713105570577075
Latvia,0.0,35.1,27598.0,79.25,17.1,1.328374070138151
Lithuania,0.0,37.7,32093.0,81.86,5.87,1.9305113476993625
Malta,1.0,29.4,39534.0,86.04,0.36,1.7466329966329963
Netherlands,1.0,28.6,52941.0,89.34,14.879999999999999,11.129257679957874
Norway,1.0,26.8,60978.0,90.26,25.5,49.1
Poland,0.0,32.1,29291.0,81.21,42.42,0.9110651135895248
Portugal,1.0,35.6,32199.0,85.36,0.5,2.8962761539201365
Romania,0.0,27.5,25841.0,74.51,4.3,0.5817667421221742
Slovenia,0.0,25.7,34802.0,85.5,4.17,0.4097851732273687
Spain,1.0,36.0,38091.0,87.11,10.349999999999998,4.503072374102056
Sweden,0.0,27.2,50070.0,88.99,17.560000000000002,9.071603504549264
Switzerland,0.0,32.5,65006.0,89.97,29.4,5.139186295503212
Turkey,0.0,41.9,27916.0,66.81,11.1,0.06884046256479895
United Kingdom,1.0,34.1,43877.0,88.74,1.8,4.56867272325413
China,0.0,38.6,16807.0,64.57,50.0,4.640000000000001
United States,0.0,41.5,59532.0,84.78,46.1,2.097191158102652
Iceland,1.0,25.6,53518.0,90.24,0.0,19.0
