country,value
Qatar,128378
Macau,115123
Luxembourg,103662
Singapore,93905
Brunei,78836
Ireland,76305
United Arab Emirates,73879
Kuwait,71943
Switzerland,65006
San Marino,62425
Hong Kong,61540
Norway,60978
United States,59532
Saudi Arabia,53845
Iceland,53518
Netherlands,52941
Austria,52558
Germany,50715
Denmark,50541
Sweden,50070
Belgium,47561
Bahrain,47527
Australia,47047
Canada,46378
Finland,45192
United Kingdom,43877
Japan,43876
France,42779
Oman,41675
European Union,41091
New Zealand,40917
Italy,39817
Malta,39534
South Korea,38335
Israel,38267
Spain,38091
Czech Republic,36916
Slovenia,34802
Cyprus,34504
Portugal,32199
Slovakia,32111
Lithuania,32093
Estonia,31638
Trinidad and Tobago,31578
Bahamas,30430
Malaysia,29432
Poland,29291
Seychelles,28964
Hungary,28375
Turkey,27916
Greece,27809
Latvia,27598
Saint Kitts and Nevis,27067
Kazakhstan,26410
Romania,25841
Russia,25533
Croatia,25264
Equatorial Guinea,24817
Panama,24446
Chile,24085
Antigua and Barbuda,23594
Uruguay,22563
Mauritius,22279
Iran,20950
Argentina,20787
Bulgaria,20329
Libya,19631
Belarus,18848
Montenegro,18765
Barbados,18640
Gabon,18183
Mexico,18149
Turkmenistan,17993
Thailand,17871
Azerbaijan,17398
Botswana,17354
Iraq,17197
Costa Rica,17044
World,16961
China,16807
Maldives,16669
Dominican Republic,16030
Brazil,15484
Algeria,15275
North Macedonia,15231
Suriname,15114
Serbia,15090
Grenada,14924
Lebanon,14676
Colombia,14552
Palau,14536
Saint Lucia,14219
Nauru,14158
South Africa,13498
Peru,13434
Mongolia,13000
Bosnia and Herzegovina,12876
Sri Lanka,12811
Indonesia,12284
Albania,12021
Tunisia,11911
Saint Vincent and the Grenadines,11777
Ecuador,11617
Egypt,11583
Kosovo,10754
Georgia,10699
Dominica,10620
Namibia,10476
Paraguay,9691
Armenia,9648
Bhutan,9561
Fiji,9555
Jordan,9153
Jamaica,8995
Ukraine,8667
Belize,8590
Eswatini,8496
Philippines,8342
Morocco,8218
Guyana,8163
Guatemala,8150
El Salvador,8006
Bolivia,7560
Timor-Leste,7213
India,7056
Laos,7023
Uzbekistan,6865
Cape Verde,6832
Vietnam,6775
Samoa,6611
Angola,6389
Myanmar,6139
Tonga,5957
Nigeria,5861
Nicaragua,5842
Moldova,5698
Pakistan,5527
