"TIME","GEO","UNIT","MOT_NRG","Value","Flag and Footnotes"
"2013","Belgium","Number","Petroleum products","169,665",""
"2013","Belgium","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Belgium","Number","Diesel","319,863",""
"2013","Belgium","Number","Natural Gas","109",""
"2013","Belgium","Number","Electricity","501",""
"2013","Belgium","Number","Alternative Energy","841",""
"2013","Belgium","Number","Petrol (excluding hybrids)  ","164,745",""
"2013","Belgium","Number","Hybrid electric-petrol","4,920","d"
"2013","Belgium","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Belgium","Number","Diesel (excluding hybrids)  ","318,951",""
"2013","Belgium","Number","Hybrid diesel-electric","912","d"
"2013","Belgium","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Belgium","Number","Hydrogen and fuel cells ",":",""
"2013","Belgium","Number","Bioethanol",":",""
"2013","Belgium","Number","Biodiesel",":",""
"2013","Belgium","Number","Bi-fuel",":",""
"2013","Belgium","Number","Other","231",""
"2013","Denmark","Number","Petroleum products","122,644",""
"2013","Denmark","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Denmark","Number","Diesel","57,435",""
"2013","Denmark","Number","Natural Gas",":",""
"2013","Denmark","Number","Electricity",":",""
"2013","Denmark","Number","Alternative Energy",":",""
"2013","Denmark","Number","Petrol (excluding hybrids)  ",":",""
"2013","Denmark","Number","Hybrid electric-petrol",":",""
"2013","Denmark","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Denmark","Number","Diesel (excluding hybrids)  ",":",""
"2013","Denmark","Number","Hybrid diesel-electric",":",""
"2013","Denmark","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Denmark","Number","Hydrogen and fuel cells ",":",""
"2013","Denmark","Number","Bioethanol",":",""
"2013","Denmark","Number","Biodiesel",":",""
"2013","Denmark","Number","Bi-fuel",":",""
"2013","Denmark","Number","Other",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Petroleum products","1,502,784",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Liquefied petroleum gases (LPG)","6,257",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Diesel","1,403,113",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Natural Gas","7,835",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Electricity","6,051",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Alternative Energy","46,534",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Petrol (excluding hybrids)  ",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hybrid electric-petrol",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Diesel (excluding hybrids)  ",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hybrid diesel-electric",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hydrogen and fuel cells ",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Bioethanol",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Biodiesel",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Bi-fuel",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Other","26,391",""
"2013","Estonia","Number","Petroleum products","12,208",""
"2013","Estonia","Number","Liquefied petroleum gases (LPG)","1",""
"2013","Estonia","Number","Diesel","7,345",""
"2013","Estonia","Number","Natural Gas","6",""
"2013","Estonia","Number","Electricity","130",""
"2013","Estonia","Number","Alternative Energy","137",""
"2013","Estonia","Number","Petrol (excluding hybrids)  ","12,017",""
"2013","Estonia","Number","Hybrid electric-petrol","191","d"
"2013","Estonia","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Estonia","Number","Diesel (excluding hybrids)  ","7,341",""
"2013","Estonia","Number","Hybrid diesel-electric","4","d"
"2013","Estonia","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Estonia","Number","Hydrogen and fuel cells ",":",""
"2013","Estonia","Number","Bioethanol",":",""
"2013","Estonia","Number","Biodiesel",":",""
"2013","Estonia","Number","Bi-fuel",":",""
"2013","Estonia","Number","Other","0",""
"2013","Ireland","Number","Petroleum products",":",""
"2013","Ireland","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Ireland","Number","Diesel",":",""
"2013","Ireland","Number","Natural Gas",":",""
"2013","Ireland","Number","Electricity",":",""
"2013","Ireland","Number","Alternative Energy",":",""
"2013","Ireland","Number","Petrol (excluding hybrids)  ",":",""
"2013","Ireland","Number","Hybrid electric-petrol",":",""
"2013","Ireland","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Ireland","Number","Diesel (excluding hybrids)  ",":",""
"2013","Ireland","Number","Hybrid diesel-electric",":",""
"2013","Ireland","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Ireland","Number","Hydrogen and fuel cells ",":",""
"2013","Ireland","Number","Bioethanol",":",""
"2013","Ireland","Number","Biodiesel",":",""
"2013","Ireland","Number","Bi-fuel",":",""
"2013","Ireland","Number","Other",":",""
"2013","Spain","Number","Petroleum products",":",""
"2013","Spain","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Spain","Number","Diesel",":",""
"2013","Spain","Number","Natural Gas",":",""
"2013","Spain","Number","Electricity",":",""
"2013","Spain","Number","Alternative Energy",":",""
"2013","Spain","Number","Petrol (excluding hybrids)  ",":",""
"2013","Spain","Number","Hybrid electric-petrol",":",""
"2013","Spain","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Spain","Number","Diesel (excluding hybrids)  ",":",""
"2013","Spain","Number","Hybrid diesel-electric",":",""
"2013","Spain","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Spain","Number","Hydrogen and fuel cells ",":",""
"2013","Spain","Number","Bioethanol",":",""
"2013","Spain","Number","Biodiesel",":",""
"2013","Spain","Number","Bi-fuel",":",""
"2013","Spain","Number","Other",":",""
"2013","France","Number","Petroleum products","562,849",""
"2013","France","Number","Liquefied petroleum gases (LPG)","0",""
"2013","France","Number","Diesel","1,182,129",""
"2013","France","Number","Natural Gas","19",""
"2013","France","Number","Electricity","8,781",""
"2013","France","Number","Alternative Energy","11,975",""
"2013","France","Number","Petrol (excluding hybrids)  ","530,054",""
"2013","France","Number","Hybrid electric-petrol","32,194",""
"2013","France","Number","Plug-in hybrid petrol-electric  ","601",""
"2013","France","Number","Diesel (excluding hybrids)  ","1,168,194",""
"2013","France","Number","Hybrid diesel-electric","13,694",""
"2013","France","Number","Plug-in hybrid diesel-electric  ","241",""
"2013","France","Number","Hydrogen and fuel cells ","1",""
"2013","France","Number","Bioethanol","238",""
"2013","France","Number","Biodiesel","0",""
"2013","France","Number","Bi-fuel","2,850",""
"2013","France","Number","Other","86",""
"2013","Croatia","Number","Petroleum products","15,245",""
"2013","Croatia","Number","Liquefied petroleum gases (LPG)","166",""
"2013","Croatia","Number","Diesel","31,046",""
"2013","Croatia","Number","Natural Gas","5",""
"2013","Croatia","Number","Electricity","3",""
