time,country,motor,value
2013,Belgium,Petroleum products,169665
2013,Belgium,Liquefied petroleum gases (LPG),0
2013,Belgium,Diesel,319863
2013,Belgium,Natural Gas,109
2013,Belgium,Electricity,501
2013,Belgium,Alternative Energy,841
2013,Belgium,Petrol (excluding hybrids),164745
2013,Belgium,Hybrid electric-petrol,4920
2013,Belgium,Plug-in hybrid petrol-electric,0
2013,Belgium,Diesel (excluding hybrids),318951
2013,Belgium,Hybrid diesel-electric,912
2013,Belgium,Plug-in hybrid diesel-electric,0
2013,Belgium,Hydrogen and fuel cells,0
2013,Belgium,Bioethanol,0
2013,Belgium,Biodiesel,0
2013,Belgium,Bi-fuel,0
2013,Belgium,Other,231
2013,Denmark,Petroleum products,122644
2013,Denmark,Liquefied petroleum gases (LPG),0
2013,Denmark,Diesel,57435
2013,Denmark,Natural Gas,0
2013,Denmark,Electricity,0
2013,Denmark,Alternative Energy,0
2013,Denmark,Petrol (excluding hybrids),0
2013,Denmark,Hybrid electric-petrol,0
2013,Denmark,Plug-in hybrid petrol-electric,0
2013,Denmark,Diesel (excluding hybrids),0
2013,Denmark,Hybrid diesel-electric,0
2013,Denmark,Plug-in hybrid diesel-electric,0
2013,Denmark,Hydrogen and fuel cells,0
2013,Denmark,Bioethanol,0
2013,Denmark,Biodiesel,0
2013,Denmark,Bi-fuel,0
2013,Denmark,Other,0
2013,Germany,Petroleum products,1502784
2013,Germany,Liquefied petroleum gases (LPG),6257
2013,Germany,Diesel,1403113
2013,Germany,Natural Gas,7835
2013,Germany,Electricity,6051
2013,Germany,Alternative Energy,46534
2013,Germany,Petrol (excluding hybrids),0
2013,Germany,Hybrid electric-petrol,0
2013,Germany,Plug-in hybrid petrol-electric,0
2013,Germany,Diesel (excluding hybrids),0
2013,Germany,Hybrid diesel-electric,0
2013,Germany,Plug-in hybrid diesel-electric,0
2013,Germany,Hydrogen and fuel cells,0
2013,Germany,Bioethanol,0
2013,Germany,Biodiesel,0
2013,Germany,Bi-fuel,0
2013,Germany,Other,26391
2013,Estonia,Petroleum products,12208
2013,Estonia,Liquefied petroleum gases (LPG),1
2013,Estonia,Diesel,7345
2013,Estonia,Natural Gas,6
2013,Estonia,Electricity,130
2013,Estonia,Alternative Energy,137
2013,Estonia,Petrol (excluding hybrids),12017
2013,Estonia,Hybrid electric-petrol,191
2013,Estonia,Plug-in hybrid petrol-electric,0
2013,Estonia,Diesel (excluding hybrids),7341
2013,Estonia,Hybrid diesel-electric,4
2013,Estonia,Plug-in hybrid diesel-electric,0
2013,Estonia,Hydrogen and fuel cells,0
2013,Estonia,Bioethanol,0
2013,Estonia,Biodiesel,0
2013,Estonia,Bi-fuel,0
2013,Estonia,Other,0
2013,Ireland,Petroleum products,0
2013,Ireland,Liquefied petroleum gases (LPG),0
2013,Ireland,Diesel,0
2013,Ireland,Natural Gas,0
2013,Ireland,Electricity,0
2013,Ireland,Alternative Energy,0
2013,Ireland,Petrol (excluding hybrids),0
2013,Ireland,Hybrid electric-petrol,0
2013,Ireland,Plug-in hybrid petrol-electric,0
2013,Ireland,Diesel (excluding hybrids),0
2013,Ireland,Hybrid diesel-electric,0
2013,Ireland,Plug-in hybrid diesel-electric,0
2013,Ireland,Hydrogen and fuel cells,0
2013,Ireland,Bioethanol,0
2013,Ireland,Biodiesel,0
2013,Ireland,Bi-fuel,0
2013,Ireland,Other,0
2013,Spain,Petroleum products,0
2013,Spain,Liquefied petroleum gases (LPG),0
2013,Spain,Diesel,0
2013,Spain,Natural Gas,0
2013,Spain,Electricity,0
2013,Spain,Alternative Energy,0
2013,Spain,Petrol (excluding hybrids),0
2013,Spain,Hybrid electric-petrol,0
2013,Spain,Plug-in hybrid petrol-electric,0
2013,Spain,Diesel (excluding hybrids),0
2013,Spain,Hybrid diesel-electric,0
2013,Spain,Plug-in hybrid diesel-electric,0
2013,Spain,Hydrogen and fuel cells,0
2013,Spain,Bioethanol,0
2013,Spain,Biodiesel,0
2013,Spain,Bi-fuel,0
2013,Spain,Other,0
2013,France,Petroleum products,562849
