State, Registration Count 
Alabama," 2,890 "
Alaska, 940 
Arizona," 28,770 "
Arkansas," 1,330 "
California," 425,300 "
Colorado," 24,670 "
Connecticut," 9,040 "
Delaware," 1,950 "
District of Columbia," 2,360 "
Florida," 58,160 "
Georgia," 23,530 "
Hawaii," 10,670 "
Idaho," 2,300 "
Illinois," 26,000 "
Indiana," 6,990 "
Iowa," 2,260 "
Kansas," 3,130 "
Kentucky," 2,650 "
Louisiana," 1,950 "
Maine," 1,920 "
Maryland," 17,970 "
Massachusetts," 21,010 "
Michigan," 10,620 "
Minnesota," 10,380 "
Mississippi, 780 
Missouri," 6,740 "
Montana, 940 
Nebraska," 1,810 "
Nevada," 11,040 "
New Hampshire," 2,690 "
New Jersey," 30,420 "
New Mexico," 2,620 "
New York," 32,590 "
North Carolina," 16,190 "
North Dakota, 220 
Ohio," 14,530 "
Oklahoma," 3,410 "
Oregon," 22,850 "
Pennsylvania," 17,530 "
Rhode Island," 1,580 "
South Carolina," 4,390 "
South Dakota, 410 
Tennessee," 7,810 "
Texas," 52,190 "
Utah," 11,230 "
Vermont," 2,230 "
Virginia," 20,510 "
Washington," 50,520 "
West Virginia, 600 
Wisconsin," 6,310 "
Wyoming, 330 
