,State,2016,2017,2018,2019
0,California,73854,94873,153442,145020
1,New York,6043,10090,15752,14823
2,Washington,5363,7068,12650,12172
3,Florida,6255,6573,13705,15794
4,Texas,4510,5419,11764,5780
5,New Jersey,3980,5033,9230,9433
6,Massachusetts,2905,4632,8990,7858
7,Colorado,2711,4156,7051,9007
8,Oregon,3486,3988,5976,7063
9,Illinois,2688,3812,7357,7630
10,Pennsylvania,2998,3346,6063,6354
11,Maryland,2185,3244,6299,6806
12,Arizona,2265,2976,7086,7591
13,Virginia,2155,2932,6375,7014
14,Michigan,2482,2742,3571,1830
15,Georgia,2435,2427,6004,5138
16,Connecticut,1511,2304,3415,3310
17,Ohio,1630,2091,4456,5903
18,North Carolina,1670,2055,4712,5393
19,Hawaii,1224,1934,2296,3117
20,Wisconsin,1778,1576,1956,1962
21,Minnesota,1083,1398,2853,3640
22,Utah,1135,1163,2295,3029
23,Missouri,870,1150,2268,2053
24,Nevada,953,1068,2325,3227
25,Indiana,671,933,2036,2207
26,Vermont,514,871,824,1005
27,Tennessee,855,791,1994,2122
28,New Hampshire,482,788,1123,1030
29,Oklahoma,263,691,2683,774
30,South Carolina,469,562,1170,1335
31,Maine,298,464,799,989
32,Kansas,384,452,943,847
33,Iowa,280,433,917,753
34,Rhode Island,299,433,619,682
35,Delaware,337,401,627,822
36,District of Columbia,405,398,761,1015
37,Alabama,330,381,866,1007
38,New Mexico,254,369,705,787
39,Kentucky,280,360,787,804
40,Louisiana,270,283,613,720
41,Nebraska,206,260,628,516
42,Idaho,214,241,497,538
43,Arkansas,138,187,435,538
44,Montana,99,143,274,318
45,Mississippi,70,128,231,273
46,West Virginia,71,113,218,250
47,Alaska,94,85,155,143
48,South Dakota,37,79,135,186
49,Wyoming,41,51,92,144
50,North Dakota,40,39,95,114
