,2016,2017,2018,2019
Alabama,6.692904203245248e-05,7.693547234139479e-05,0.00017402155576476546,0.00020126241701173077
Alaska,0.0001264443577568233,0.00011456313034992971,0.0002101076700143822,0.0001946046871151284
Arizona,0.0003330103206735012,0.0004325688280088316,0.0010166509228768553,0.0010736140570320872
Arkansas,4.6299371737655684e-05,6.252505599670456e-05,0.00014513202176246324,0.00017907975639827337
California,0.0018829157531981703,0.0024064739534382434,0.0038810796444123477,0.0036669367519911755
Colorado,0.000490309470098628,0.000742120461007516,0.0012419745475362191,0.001570276087556098
Connecticut,0.0004188277922037604,0.0006386490797937141,0.0009456381299016037,0.0009176196558011443
Delaware,0.00035360901545596676,0.00041705711602404164,0.0006456781783431095,0.0008376668837263336
District of Columbia,0.0006010391298734256,0.0005844818597684101,0.0011099248576495846,0.0014765612271023904
Florida,0.00030455842898683414,0.00031492275337255534,0.0006484945604531787,0.0007396092602226255
Georgia,0.00023599020180312022,0.00023272766605507333,0.000570041526442844,0.0004827610247424891
Hawaii,0.0008400777483720062,0.001326146269682198,0.001572405650524626,0.002139277463669345
Idaho,0.000126172624196018,0.00013898260122373893,0.00028100639869097383,0.0002975599530762334
Illinois,0.00020762050678868078,0.0002949436202735517,0.0005708124810007196,0.0005937673879293238
Indiana,0.00010077547554460059,0.0001395474057344561,0.00030271703406295177,0.000326395180413568
Iowa,8.89049199982727e-05,0.0001369117576845281,0.000289143011016128,0.00023650752819480683
Kansas,0.00013118203899249462,0.00015440222257217024,0.00032167042119381683,0.0002887092854291798
Kentucky,6.281408444321708e-05,8.043393212672008e-05,0.00017538647981952353,0.0001787405063558479
Louisiana,5.7623295177463744e-05,6.048810265279872e-05,0.00013126192170879469,0.00015435546090326242
Maine,0.00022235868844189984,0.000345019634145344,0.0005916217767164622,0.0007285520966314962
Maryland,0.00035939456572389055,0.0005306866617535072,0.0010260986455628198,0.0011042197874368796
Massachusetts,0.00042049551596898667,0.0006656727563077237,0.0012853775507023538,0.0011199127556894219
Michigan,0.00024777927079818466,0.00027283940445784957,0.0003545961962582207,0.00018157939544182137
Minnesota,0.00019491647747949778,0.00024940307390180583,0.000504942436031333,0.0006400863202123257
Mississippi,2.3455953238211623e-05,4.2904169849563906e-05,7.76570302472452e-05,9.195074000136747e-05
Missouri,0.0001427786263350417,0.00018810308507051984,0.0003700685671134358,0.0003341794437808603
Montana,9.467813260294095e-05,0.00013516298008850813,0.0002569050257748874,0.0002956868768956969
Nebraska,0.00010721572219677728,0.00013441138154221552,0.0003228182651396883,0.00026394847480238395
Nevada,0.00032798688327796905,0.0003613441596735181,0.0007720079545043261,0.00105150209697606
New Hampshire,0.00035675718084850476,0.0005798449429868195,0.0008227859694111183,0.0007508197055912013
New Jersey,0.0004364101123459982,0.0005485619567650779,0.0010012086095696452,0.001018814093051327
New Mexico,0.0001209736953653739,0.00017562622170882886,0.0003352192785795832,0.00037295997528133124
New York,0.000299888272636602,0.0004997402489855496,0.0007789280383632938,0.0007330017690844153
North Carolina,0.000165739320433058,0.00020196032221663786,0.0004585528376070938,0.0005200302780469696
North Dakota,5.231151507225528e-05,5.0869144994019616e-05,0.00012315159183154937,0.00014680959568122228
Ohio,0.00013929378563421314,0.00017814537122351622,0.000378820016455207,0.0005007402523822486
Oklahoma,6.714629032064523e-05,0.00017625505202839976,0.0006829589150447983,0.00019625761575903014
Oregon,0.0008516607751578907,0.0009616159005166394,0.0014284983508684533,0.0016752941667599625
Pennsylvania,0.00023207583786305684,0.0002584714480588647,0.0004670721455829134,0.0004890909773875861
Rhode Island,0.0002762760209969776,0.00039910997553723154,0.0005669791005458205,0.0006231019146222468
South Carolina,9.550440990085462e-05,0.00011317518209222247,0.00023301857237686312,0.0002629224410310262
South Dakota,4.29907627955615e-05,9.078758807257951e-05,0.00015423283445675768,0.0002107632007451499
Tennessee,0.00012814064477375007,0.00011736885440133947,0.00029295332654085147,0.0003092222550258817
Texas,0.00016205521950756773,0.0001922159390536073,0.0004126144414072411,0.00020029278785868088
Utah,0.0003705465447269268,0.00037206665591736344,0.0007214948240998763,0.0009369873675295055
Vermont,0.0008077417489337495,0.0013629371844002373,0.001286159580562133,0.0015658156731137764
Virginia,0.00025519000820397393,0.0003448365895614248,0.0007458743495975671,0.0008158338295139926
Washington,0.0007330573604057445,0.0009491316211095574,0.0016758214207600757,0.0015934671512349828
West Virginia,3.867106609048594e-05,6.199304909794628e-05,0.00012040287464624752,0.0001388557178007476
Wisconsin,0.0003058988410769497,0.00027002664799781923,0.0003338586999378367,0.00033366251753981545
Wyoming,7.04487931778076e-05,8.850356096680596e-05,0.00016005539308386728,0.0002502863519199918
