GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,33082.27,33956.49,34965.07,35313.39,35108.78,35807.86,36668.15,38983.79,40345.16,40456.16,40447.03,39622.41,37980.15,38576.12,38985.96,39106.28,39340.89,38857.04,38983.07,39403.72,39894.7,40350.68,40648.99,39186.83,40652.7
Alaska,68863.79,66290.98,64967.77,62753.06,64632.78,66910.36,65321.38,66822.29,68456.97,72841.78,76026.75,74553.39,80434.26,76471.19,76511.36,79719.77,75000.03,73461.78,74061.43,72969.96,72955.82,72181.61,72584.15,68484.7,68653.14
Arizona,35551.86,37486.73,39551.53,40390.66,40422.32,40898.12,42477.39,43223.61,44925.94,45475.7,45924.99,44712.41,40594.71,40660.13,41278.21,41712.83,41668.89,41720.51,42085.67,42824.57,43962.63,44995.87,45809.18,44657.46,46373.01
Arkansas,31744.88,32201.64,33604.79,33551.89,33359.33,34350.7,35578.37,36998.26,38107.26,38437.2,37774.42,37061.92,35554.77,36166.28,36726.31,36790.86,37483.66,37732.96,37824.14,37844.07,38078.49,38681.05,38875.25,38158.91,39892.55
California,42426.77,44523.62,46995.32,49905.07,49082.1,49395.79,50775.55,52028.86,53780.43,55590.52,56308.27,56322.25,53987.37,54552.15,54815.39,55651.2,56911.77,58392.12,60500.17,61899.44,64472.52,66865.2,69266.3,67435.03,73179.98
Colorado,45836.7,48748.43,50945.03,53523.0,53094.45,52426.73,52505.27,52622.28,54310.12,54535.41,55556.79,55418.48,53289.6,53072.84,53074.94,53351.12,54385.57,55896.6,57405.08,57685.68,58919.76,60334.83,62199.74,59818.96,62958.35
Connecticut,56882.38,58356.78,59754.21,63356.31,63543.78,62646.26,62906.1,66767.8,68021.81,70571.89,73131.06,72697.86,68755.75,68250.18,66368.83,66822.36,65382.29,65228.44,67194.58,67435.63,68565.66,69226.28,69721.1,65519.88,68166.96
Delaware,61185.49,66070.99,69983.74,71912.69,73360.28,70127.36,70048.64,72303.42,70206.59,70553.42,69375.36,66362.06,68986.91,67325.8,69281.49,68030.23,65077.64,69442.77,70711.18,66106.31,63235.84,63574.17,65487.21,62563.84,64121.01
District of Columbia,140607.08,143683.81,148639.54,149211.6,153942.71,159016.36,163448.85,171665.02,175408.9,174888.42,178861.39,184009.44,178805.97,181857.49,180718.01,177707.67,174224.94,175009.36,175484.69,177557.79,177545.76,180615.99,181828.4,177283.5,187740.91
Florida,36862.51,37966.52,39039.39,40050.33,40390.1,41342.12,42482.41,44164.6,45721.0,46235.72,46279.18,44046.89,41230.67,41131.68,40549.25,40397.97,40745.21,41284.0,42304.19,42922.49,43741.64,44642.9,45499.47,43764.66,46310.46
