States,Region,Geo Region,Party
Alabama,Region_4,South,Republican
Alaska,Region_10,West,Republican
Arizona,Region_9,West,Democratic
Arkansas,Region_6,South,Republican
California,Region_9,West,Democratic
Colorado,Region_8,West,Democratic
Connecticut,Region_1,Northeast,Democratic
Delaware,Region_3,South,Democratic
District of Columbia,Region_3,South,Democratic
Florida,Region_4,South,Republican
Georgia,Region_4,South,Democratic
Hawaii,Region_9,West,Democratic
Idaho,Region_10,West,Republican
Illinois,Region_5,Midwest,Democratic
Indiana,Region_5,Midwest,Republican
Iowa,Region_7,Midwest,Republican
Kansas,Region_7,Midwest,Republican
Kentucky,Region_4,South,Republican
Louisiana,Region_6,South,Republican
Maine,Region_1,Northeast,Democratic
Maryland,Region_3,South,Democratic
Massachusetts,Region_1,Northeast,Democratic
Michigan,Region_5,Midwest,Democratic
Minnesota,Region_5,Midwest,Democratic
Mississippi,Region_4,South,Republican
Missouri,Region_7,Midwest,Republican
Montana,Region_8,West,Republican
Nebraska,Region_7,Midwest,Republican
Nevada,Region_9,West,Democratic
New Hampshire,Region_1,Northeast,Democratic
New Jersey,Region_2,Northeast,Democratic
New Mexico,Region_6,West,Democratic
New York,Region_2,Northeast,Democratic
North Carolina,Region_4,South,Republican
North Dakota,Region_8,Midwest,Republican
Ohio,Region_5,Midwest,Republican
Oklahoma,Region_6,South,Republican
Oregon,Region_10,West,Democratic
Pennsylvania,Region_3,Northeast,Democratic
Puerto Rico,Region_2,South,
Rhode Island,Region_1,Northeast,Democratic
South Carolina,Region_4,South,Republican
South Dakota,Region_8,Midwest,Republican
Tennessee,Region_4,South,Republican
Texas,Region_6,South,Republican
Utah,Region_8,West,Republican
Vermont,Region_1,Northeast,Democratic
Virginia,Region_3,South,Democratic
Washington,Region_10,West,Democratic
West Virginia,Region_3,South,Republican
Wisconsin,Region_5,Midwest,Democratic
Wyoming,Region_8,West,Republican
