State,2020,2015
Alabama,5320340,5400419
Alaska,792826,815122
Arizona,6053781,5630647
Arkansas,2913369,2772214
California,30398249,29424012
Colorado,5350708,5005172
Connecticut,2867554,2841764
Delaware,1006135,964316
District of Columbia,356537,322929
Florida,18464506,16105008
Georgia,8829596,8137621
Hawaii,1256140,1242319
Idaho,1917677,1854019
Illinois,10587725,10595254
Indiana,6199901,6045114
Iowa,3787224,3636898
Kansas,2603543,2634856
Kentucky,4459685,4151982
Louisiana,3861204,3901432
Maine,1121106,1104001
Maryland,4211377,4135158
Massachusetts,5036686,5069601
Michigan,8453239,8294108
Minnesota,5690749,5281269
Mississippi,2058975,2068853
Missouri,5587022,5624005
Montana,1952553,1645227
Nebraska,1935357,1981296
Nevada,2549357,2316056
New Hampshire,1357535,1296137
New Jersey,6006247,5938585
New Mexico,1783151,1823445
New York,11324755,10638765
North Carolina,8739280,7928973
North Dakota,899083,890803
Ohio,10592317,10557323
Oklahoma,3730247,2988512
Oregon,4095442,3607482
Pennsylvania,10690187,10598694
Rhode Island,866625,875097
South Carolina,4561299,4162651
South Dakota,1294282,1082289
Tennessee,5855373,5612123
Texas,22419490,21864841
Utah,2479604,2229193
Vermont,607890,655347
Virginia,7606452,7238905
Washington,7257401,6725467
West Virginia,1657362,1613345
Wisconsin,5616271,5466581
Wyoming,861028,814989
