state,1974,1976,1978,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,10,24,29,34,40,45,73,107,130,141,149,163,198,242,287,340,414,478,563,675,778,1011,1225,1252
Florida,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,7,31,31,31,31,31,32,35,36,42,46,56,139,286,334,379,552,687,864,1062,1380,1829,2813,2962
Arizona,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,6,9,9,12,28,28,30,32,32,33,37,43,112,115,122,158,191,210,231,313,350,383,434,532,642,1033,1123
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,40,143,144,144,241,243,248,262,276,282,320,337,452,516,551,634,840,955,1075,1282,1564,2038,2938,3097
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,23,27,37,40,42,66,83,95,115,133,149,188,299,363,418,510,590,671,785,901,1079,1454,1623
California,0,0,0,0,0,0,0,0,0,2,7,13,16,20,31,62,73,92,134,222,231,264,286,310,327,348,359,402,444,476,670,823,1036,1235,1691,2128,2469,2973,3693,7163,14608,15312
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,28,32,39,39,46,49,131,143,193,299,336,382,454,541,639,729,846,1013,1369,1444
Ohio,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,27,27,27,27,30,35,45,68,81,85,86,115,195,229,301,369,466,520,603,738,893,1278,1371
Georgia,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,6,7,8,15,25,25,26,26,28,34,37,38,43,46,48,76,133,155,189,293,406,490,607,715,979,1655,1740
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,11,11,12,14,14,14,15,15,15,16,17,26,90,105,132,200,225,246,331,487,933,2113,2261
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,5,5,5,7,10,19,23,55,81,96,117,137,163,184,207,245,328,346
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,21,35,36,38,38,39,44,61,84,94,110,130,187,241,292,364,438,498,537,611,688,799,1151,1215
Iowa,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,4,7,8,9,9,9,13,19,37,54,76,101,123,159,184,197,229,273,292,334,374,447,521,664,963
Washington,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,6,6,6,19,41,42,43,44,45,45,48,49,52,61,69,139,188,207,256,357,450,553,671,854,1072,1788,1889
New York,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6,7,8,14,16,19,20,23,24,26,27,30,32,46,62,82,165,188,220,270,330,521,640,833,1290,2006,3055,3187
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,6,6,6,7,10,23,28,36,45,54,106,121,128,141,169,172
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,14,26,27,30,31,32,35,35,52,59,69,73,80,133,162,208,281,346,447,559,713,1024,1717,1810
Idaho,0,0,0,0,0,1,2,3,4,4,4,4,4,4,5,5,5,5,10,15,15,15,15,15,15,16,16,16,16,23,26,31,37,43,61,84,96,107,121,139,173,177
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,5,13,14,14,14,15,15,16,16,16,17,25,29,30,34,60,97,117,140,167,229,273,480,538
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,19,24,24,24,25,25,25,25,25,26,31,32,38,65,90,110,137,180,207,234,289,333,598,626
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,20,20,22,22,22,23,36,56,69,84,99,135,198,242,318,394,426,456,538,613,689,821,856
Indiana,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,5,15,17,19,19,20,22,39,72,91,99,124,146,198,223,264,313,348,378,431,493,556,670,699
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,21,23,23,24,24,25,25,29,30,33,40,49,138,172,226,298,378,483,588,765,980,1411,1514
Maryland,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,10,10,10,10,11,13,16,18,21,22,24,53,103,119,139,224,313,379,491,626,784,1305,1378
South Carolina,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,12,12,13,13,13,45,47,54,57,68,78,115,184,195,213,257,272,297,330,364,420,511,546
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,28,39,57,57,61,63,64,66,70,71,77,83,98,139,196,222,244,277,310,360,397,551,631,651
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,11,12,12,20,20,22,28,34,44,50,55,59,61,71,75,79,93,98,106,120,137,144,162,168
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,22,22,22,22,25,25,26,37,39,43,55,116,141,172,217,255,312,350,389,444,553,838,861
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,22,22,22,23,23,26,26,29,30,54,56,72,110,124,138,173,186,239,267,290,333,398,417
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,15,21,21,27,27,28,30,30,33,36,44,49,71,72,83,140,148,162,222,302,465,949,982
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,7,7,8,9,11,15,19,76,85,105,138,167,192,235,376,470,727,802
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,8,12,20,20,20,20,23,23,31,33,36,43,48,88,137,157,185,231,351,394,470,601,717,1037,1102
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,28,28,28,28,30,34,47,59,67,79,86,107,121,134,149,224,283,403,449,532,640,1233,1266
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,27,28,28,28,29,30,33,35,39,39,40,51,55,64,83,93,104,125,149,185,270,281
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,20,21,21,21,21,22,23,24,25,31,31,77,128,164,215,284,385,459,569,697,827,1274,1359
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,12,12,12,12,21,21,21,21,24,31,31,55,89,93,102,111,127,142,153,181,196,201
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,4,4,6,23,25,45,62,108,126,151,187,225,314,331
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,5,10,17,34,50,90,110,144,182,216,318,337
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,9,13,16,26,29,44,51,57,73,144,151
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,10,10,10,11,11,11,11,12,12,12,17,21,54,62,69,84,117,152,178,200,223,249,254
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,6,12,29,35,40,42,47,82,109,146,262,281
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,9,9,10,10,10,10,10,13,14,14,15,19,27,41,53,60,71,80,92,103,114
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,8,8,8,8,8,8,8,9,10,10,15,63,101,117,158,204,285,315,339,398,450,555,569
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,17,88,110,121,142,161,195,207,245,292,377,387
Nebraska,0,0,0,0,1,1,2,2,2,2,2,2,6,6,6,6,6,6,12,15,15,15,15,15,21,27,30,36,42,49,56,69,74,89,100,120,137,157,184,211,324,370
Arkansas,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,9,12,12,12,13,13,13,13,13,14,21,26,49,58,75,91,108,120,127,155,182,205,297,312
Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,6,6,7,14,24,28,34,57,69,75,101,138,172,303,320
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,5,5,5,5,23,25,33,45,67,98,108,126,138,152,187,205
Alaska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,6,6,11,18,21,39,55,55
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,6,6,6,6,7,8,8,8,9,10,10,12,16,19,28,38,49,65,79,87,93,103,105
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,7,7,10,13,14,15,18,23,29,32,39,39,45,53,55,58,70,86,103,131,132
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
