,Year,Florida,Pennsylvania,New Hampshire,Texas,Louisiana,Minnesota,South Carolina,Washington,New Jersey,Virginia,Utah,Arkansas,Maine,Michigan,Kansa,Oregon,Alabama,Colorado,Idaho,Iowa,North Carolina,Connecticut,North Dakota,California,Ohio,Tennessee,New Mexico,West Virginia,Wisconsin,Nevada,Alaska,Maryland,Oklahoma,Mississippi,Delaware,Illinois,Indiana,New York,Arizona,Georgia,Kentucky,South Dakota,Massachusetts,Vermont,Missouri,Nebraska,Rhode Island,Montana,Wyoming
0,1990,72.5,50.7,45.0,65.6,67.8,42.5,65.0,47.3,54.4,57.4,48.7,61.8,42.4,45.7,55.5,47.4,64.9,45.6,43.5,49.5,61.1,51.1,42.6,58.0,52.7,59.4,53.3,53.9,44.5,50.0,25.4,56.6,60.7,65.1,57.2,53.6,53.3,47.3,59.7,65.7,57.3,46.9,49.7,44.0,56.2,50.0,51.5,42.8,41.8
1,1991,71.8,50.7,44.5,64.8,66.9,41.7,63.8,47.1,54.4,57.0,47.5,61.3,41.7,45.8,55.7,47.6,64.0,45.0,43.3,48.6,60.2,51.0,42.3,58.1,53.1,59.1,52.5,53.8,43.7,49.9,27.0,56.5,60.3,64.3,56.9,53.7,53.7,47.1,59.2,64.5,57.4,46.8,49.6,43.5,56.1,50.1,51.4,42.9,41.7
2,1992,70.3,47.6,41.8,64.4,65.8,40.9,61.9,48.6,51.2,54.4,49.0,59.9,39.8,43.3,54.2,49.4,62.1,45.3,45.0,47.8,58.2,47.7,41.2,59.3,50.3,57.0,52.6,51.3,42.7,51.4,25.0,53.5,59.3,62.8,53.9,51.9,51.3,43.8,59.6,62.7,55.1,45.6,46.4,40.6,54.5,48.9,48.4,43.5,42.5
3,1993,70.3,48.2,42.5,64.1,65.6,38.9,62.6,45.6,52.2,55.1,46.8,59.3,40.0,43.2,51.9,45.5,62.3,43.8,40.9,45.7,58.7,48.6,38.3,57.7,50.4,57.2,53.1,51.9,41.7,48.6,29.9,54.2,58.1,62.7,54.8,50.9,50.8,44.2,59.8,63.2,55.0,42.3,47.3,41.2,53.0,46.0,49.3,39.6,38.9
4,1994,71.6,48.0,42.7,65.6,66.5,40.9,62.8,47.9,52.2,55.3,49.7,60.4,40.4,43.9,54.9,47.8,63.0,46.5,44.3,47.5,59.0,48.9,40.0,58.0,50.5,57.6,54.4,51.8,43.0,50.8,26.2,54.4,59.7,63.5,55.0,52.0,51.5,44.3,60.6,63.6,55.4,44.9,47.7,41.3,54.7,49.2,49.6,42.7,42.9
5,1995,70.8,48.5,43.3,65.2,66.8,40.3,62.5,47.5,52.5,55.0,49.2,60.5,40.9,44.2,53.9,48.1,63.0,45.7,43.6,47.3,58.4,49.0,39.6,58.9,50.3,57.4,54.3,51.6,42.8,50.9,27.8,54.4,59.4,63.6,55.1,51.6,51.5,45.2,61.0,63.5,55.4,44.7,47.8,42.3,54.2,48.6,49.9,41.7,41.7
6,1996,69.9,47.6,43.0,65.4,66.2,37.6,61.8,45.6,51.5,54.0,49.6,59.6,41.0,42.5,53.1,47.6,62.1,45.8,43.2,45.2,57.8,48.4,36.5,59.6,49.5,56.6,54.7,50.7,40.5,51.5,25.1,53.2,59.0,63.0,54.0,50.1,50.0,44.5,61.9,62.6,54.4,41.6,47.3,42.0,52.9,46.6,49.1,39.2,41.0
7,1997,71.1,48.0,42.3,63.9,66.0,40.6,62.2,47.1,52.0,54.5,48.2,59.7,39.8,43.5,53.7,47.8,62.4,44.8,43.2,47.1,58.1,48.6,40.7,59.1,49.9,56.8,52.9,51.0,42.6,50.6,28.1,54.0,58.7,62.9,54.8,51.0,50.5,44.3,60.5,63.2,54.5,44.8,47.4,41.1,53.7,48.6,49.4,42.2,41.2
8,1998,72.5,51.8,46.0,67.0,68.6,44.9,64.7,48.6,55.2,57.4,48.3,63.1,43.5,48.2,56.3,47.8,65.1,46.2,44.3,50.9,60.8,51.6,43.2,56.7,54.1,60.2,54.2,54.2,47.3,49.2,28.4,57.0,62.1,65.8,57.4,55.2,55.0,48.3,59.3,65.7,58.2,47.4,50.4,45.2,57.2,50.6,52.0,43.8,42.5
9,1999,71.2,50.0,45.4,66.6,67.8,43.7,63.4,46.9,54.1,56.3,49.2,62.1,43.8,46.4,56.0,47.2,64.1,46.6,43.6,49.7,59.7,50.8,43.0,58.0,52.3,59.3,54.3,53.0,45.4,50.6,24.0,55.7,61.3,65.0,56.5,53.5,53.2,46.9,60.8,64.5,57.3,47.8,49.8,44.3,56.4,51.0,51.8,44.0,43.2
