,State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Alabama,6000,5500,5390,5000,4500,4500,5000,5468,5360,5450,5500,6200,6150,6300,6300,6300,6300
1,Alaska,263,257,267,262,377,350,390,400,319,322,460,566,442,440,372,365,361
2,Arizona,4804,1907,1923,1950,2114,2110,2339,2400,2018,2277,2190,2000,2051,2037,2081,2063,2027
3,Arkansas,3280,3220,3313,2984,2831,2652,2652,2925,3185,3300,3300,2754,2540,2495,2350,2125,2107
4,California,14194,14200,11258,11258,11258,9520,9730,9750,9630,9822,9857,9970,10200,10400,10104,10100,10100
5,Colorado,2308,2517,2308,2256,2340,2084,2229,2234,2182,2348,2300,2183,2322,2296,2253,2233,2188
6,Connecticut,1948,1800,1532,1654,1639,1526,1558,1576,1526,1524,1475,1558,1530,1520,1502,1484,1488
7,Delaware,478,468,500,572,406,422,405,380,400,383,384,377,373,373,415,419,419
8,District of Columbia,93,128,114,100,120,166,119,95,100,120,121,114,118,114,115,85,87
9,Florida,9249,9550,9024,9301,9318,9471,9504,9409,9275,9215,9217,9217,9169,9138,8987,9037,9037
10,Georgia,7936,7466,7356,7765,7104,8015,7928,7585,7908,7995,7685,8215,6890,7414,7563,8252,8471
11,Hawaii,415,406,378,370,375,448,448,361,348,366,328,344,362,360,396,396,421
12,Idaho,1208,1182,1158,765,945,917,794,842,800,789,847,790,957,929,1006,946,911
13,Illinois,5695,5170,5119,4639,4527,4653,4695,4700,4900,5100,5100,5000,4396,4406,4357,4370,3875
14,Indiana,3445,3422,3350,3200,3200,3200,3302,3000,3300,3300,1684,2396,3058,3028,2998,3028,3069
15,Iowa,2954,2955,2932,3534,2899,3420,2686,2433,2788,2732,2658,2659,2700,2934,2864,2740,2398
16,Kansas,2659,2525,2507,2797,2461,2300,2683,2373,2200,2500,2500,2800,2800,2800,2132,1974,1983
17,Kentucky,4406,4311,4265,4214,4065,3978,3825,3734,3653,3606,3507,3600,3317,3174,3089,2991,2922
18,Louisiana,8810,7100,7424,7276,6598,6400,5200,3179,3223,4082,4082,3650,3594,3658,3752,3714,3696
19,Maine,1200,1400,1300,1274,1369,1395,1420,1461,1325,1534,1436,1373,1427,1349,1308,1257,1257
20,Maryland,2177,2164,2175,2770,2363,2354,2368,2385,2403,2369,2346,2339,2182,2150,2149,2123,1990
21,Massachusetts,2400,2600,2400,2600,2600,2400,2600,2600,2600,2600,2700,2700,3385,3221,3195,3032,2993
22,Michigan,3539,5447,5447,5223,5225,5205,5193,5172,5176,5089,5076,4984,4890,4828,4770,4752,4749
23,Minnesota,3500,3955,4123,4053,4028,3430,3609,3711,3974,3820,3656,3649,3080,3125,3280,3657,2856
24,Mississippi,3904,3893,3874,3799,3767,3747,3721,3655,3628,3626,3559,3550,3369,3354,3046,2968,2926
25,Missouri,5420,5181,5083,4981,4819,4721,4669,4600,4825,4410,4312,4178,4094,4045,3969,3914,3852
26,Montana,1382,1385,1600,1568,1500,1500,1000,925,1100,1100,900,400,800,545,545,500,558
27,Nebraska,1884,2341,1940,2214,1868,1685,1654,1643,1638,1600,1542,1486,1541,1501,1506,1494,1568
28,Nevada,875,747,902,850,890,917,954,1008,1037,1035,1094,1169,1010,1082,1130,1130,1036
29,New Hampshire,977,950,963,893,938,898,903,943,960,981,800,1700,914,926,950,863,857
30,New Jersey,3864,4500,3200,3900,3900,3783,3800,3200,3400,3608,3301,3301,3142,3178,3219,3217,3333
31,New Mexico,1752,1577,1722,1650,1478,1417,1417,1558,1549,1490,1478,1170,1165,1146,1158,1152,1188
32,New York,6650,6504,6374,6246,6246,6100,5863,6352,7050,7050,7050,6700,6500,6500,6200,6164,6030
33,North Carolina,8763,8852,7816,7629,7493,7431,7392,7371,7272,7186,7052,6908,6878,6784,6670,6528,6270
34,North Dakota,1093,938,929,886,1003,861,845,835,835,830,930,922,788,757,733,726,723
35,Ohio,6200,6200,6076,6050,6050,6000,5568,5568,4923,5125,4935,4935,4957,4764,4634,4473,4617
36,Oklahoma,4351,4172,4139,4005,3935,4000,4000,4254,4091,3732,3500,3250,3200,3200,3200,3200,3200
37,Oregon,1650,1893,1854,1857,1785,1800,1800,1790,1776,1752,1724,1696,1673,1642,1601,1593,2010
38,Pennsylvania,5300,5300,5200,5000,4920,4945,4452,4611,4675,4628,4678,4703,4713,4685,4685,4685,4685
39,Rhode Island,500,540,510,525,519,519,519,503,340,375,375,377,375,401,405,410,388
40,South Carolina,4283,4300,4572,4481,4055,3933,3990,3990,3978,3960,3924,3677,3682,3805,3430,3050,3098
41,South Dakota,1583,1600,1600,1600,1624,1096,1085,1102,1100,1085,1073,1053,1042,1018,1014,1007,870
42,Tennessee,5291,5338,5350,5016,4945,4999,4969,4918,4913,4782,4713,4650,4619,4529,4500,4430,4400
43,Texas,14063,15074,15074,14773,15000,16100,16000,16515,14636,14206,16500,13760,13657,13926,13393,13023,13715
44,Utah,1330,1270,1320,1324,1100,1067,1200,1208,1273,1104,1104,1125,1125,1122,1112,1093,1087
45,Vermont,781,760,774,759,650,980,980,950,975,642,621,646,616,639,627,681,658
46,Virginia,6000,6000,6000,5241,4877,5243,4981,4896,4851,4846,4650,4650,4140,4130,4003,3947,3939
47,Washington,2650,2500,4000,3000,3500,1613,1731,1813,1850,3228,3228,3056,3086,4200,4170,4110,4018
48,West Virginia,2062,2000,2000,2000,2000,2000,2000,1440,1400,1300,1300,1300,1450,1450,1511,1200,1353
49,Wisconsin,4027,4027,3946,3867,3867,3348,3348,3300,4253,4253,4126,3919,4024,3973,3680,3829,3682
50,Wyoming,650,400,215,636,550,550,500,450,425,410,598,573,575,559,577,563,299
