State,Total
Alabama,8
Alaska,6
Arizona,24
Arkansas,6
California,133
Colorado,37
Connecticut,28
Delaware,12
District of Columbia,14
Florida,15
Georgia,7
Hawaii,13
Idaho,8
Illinois,17
Indiana,12
Iowa,13
Kansas,4
Kentucky,3
Louisiana,7
Maine,15
Maryland,27
Massachusetts,27
Michigan,16
Minnesota,24
Mississippi,5
Missouri,8
Montana,7
Nebraska,5
Nevada,20
New Hampshire,12
New Jersey,31
New Mexico,15
New York,42
North Carolina,27
North Dakota,5
Ohio,10
Oklahoma,17
Oregon,37
Pennsylvania,14
Rhode Island,15
South Carolina,12
South Dakota,4
Tennessee,6
Texas,18
Utah,18
Vermont,26
Virginia,27
Washington,35
West Virginia,8
Wisconsin,22
Wyoming,7
