Alaska, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
199012,25.4,-0.6
199112,27.0,1.0
199212,25.0,-1.0
199312,29.9,3.9
199412,26.2,0.2
199512,27.8,1.8
199612,25.1,-0.9
199712,28.1,2.1
199812,28.4,2.4
199912,24.0,-2.0
200012,28.4,2.4
200112,27.3,1.3
200212,30.1,4.1
200312,29.1,3.1
200412,29.3,3.3
200512,29.2,3.2
200612,26.4,0.4
200712,28.1,2.1
200812,25.1,-0.9
200912,26.8,0.8
201012,27.4,1.4
201112,27.0,1.0
201212,24.3,-1.7
201312,27.8,1.8
201412,30.3,4.3
201512,30.0,4.0
201612,31.9,5.9
201712,29.3,3.3
201812,30.4,4.4
201912,32.2,6.2
202012,27.5,1.5
202112,26.5,0.5
