Alabama, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,64.9,1.8
199112,64.0,0.9
199212,62.1,-1.0
199312,62.3,-0.8
199412,63.0,-0.1
199512,63.0,-0.1
199612,62.1,-1.0
199712,62.4,-0.7
199812,65.1,2.0
199912,64.1,1.0
200012,63.6,0.5
200112,63.0,-0.1
200212,63.6,0.5
200312,62.7,-0.4
200412,63.3,0.2
200512,63.4,0.3
200612,64.2,1.1
200712,64.4,1.3
200812,62.9,-0.2
200912,62.9,-0.2
201012,62.7,-0.4
201112,63.8,0.7
201212,64.9,1.8
201312,62.6,-0.5
201412,62.0,-1.1
201512,64.6,1.5
201612,65.3,2.2
201712,65.0,1.9
201812,64.5,1.4
201912,65.4,2.3
202012,64.9,1.8
202112,64.2,1.1
