Arkansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,61.8,1.4
199112,61.3,0.9
199212,59.9,-0.5
199312,59.3,-1.1
199412,60.4,0.0
199512,60.5,0.1
199612,59.6,-0.8
199712,59.7,-0.7
199812,63.1,2.7
199912,62.1,1.7
200012,60.9,0.5
200112,61.2,0.8
200212,60.6,0.2
200312,60.3,-0.1
200412,61.0,0.6
200512,62.0,1.6
200612,62.0,1.6
200712,61.8,1.4
200812,59.9,-0.5
200912,59.9,-0.5
201012,61.2,0.8
201112,61.8,1.4
201212,63.6,3.2
201312,59.6,-0.8
201412,58.7,-1.7
201512,61.4,1.0
201612,62.8,2.4
201712,62.5,2.1
201812,61.2,0.8
201912,61.2,0.8
202012,61.1,0.7
202112,61.2,0.8
