Indiana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,53.3,2.0
199112,53.7,2.4
199212,51.3,0.0
199312,50.8,-0.5
199412,51.5,0.2
199512,51.5,0.2
199612,50.0,-1.3
199712,50.5,-0.8
199812,55.0,3.7
199912,53.2,1.9
200012,51.6,0.3
200112,53.2,1.9
200212,53.1,1.8
200312,51.1,-0.2
200412,52.2,0.9
200512,52.8,1.5
200612,53.4,2.1
200712,53.3,2.0
200812,51.0,-0.3
200912,51.3,0.0
201012,52.6,1.3
201112,53.1,1.8
201212,55.1,3.8
201312,51.2,-0.1
201412,49.4,-1.9
201512,52.3,1.0
201612,54.2,2.9
201712,54.0,2.7
201812,52.6,1.3
201912,52.4,1.1
202012,53.3,2.0
202112,53.5,2.2
