Maine, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,42.4,2.3
199112,41.7,1.6
199212,39.8,-0.3
199312,40.0,-0.1
199412,40.4,0.3
199512,40.9,0.8
199612,41.0,0.9
199712,39.8,-0.3
199812,43.5,3.4
199912,43.8,3.7
200012,40.9,0.8
200112,42.7,2.6
200212,41.7,1.6
200312,40.4,0.3
200412,40.4,0.3
200512,41.8,1.7
200612,44.0,3.9
200712,40.7,0.6
200812,41.6,1.5
200912,40.9,0.8
201012,44.6,4.5
201112,42.8,2.7
201212,43.9,3.8
201312,42.0,1.9
201412,41.2,1.1
201512,41.2,1.1
201612,43.3,3.2
201712,42.4,2.3
201812,41.8,1.7
201912,40.7,0.6
202012,43.5,3.4
202112,44.2,4.1
