Missouri, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,56.2,1.7
199112,56.1,1.6
199212,54.5,0.0
199312,53.0,-1.5
199412,54.7,0.2
199512,54.2,-0.3
199612,52.9,-1.6
199712,53.7,-0.8
199812,57.2,2.7
199912,56.4,1.9
200012,55.1,0.6
200112,55.8,1.3
200212,55.3,0.8
200312,54.5,0.0
200412,55.0,0.5
200512,56.2,1.7
200612,56.8,2.3
200712,56.2,1.7
200812,53.4,-1.1
200912,54.0,-0.5
201012,55.2,0.7
201112,55.6,1.1
201212,58.5,4.0
201312,53.6,-0.9
201412,52.9,-1.6
201512,55.8,1.3
201612,57.4,2.9
201712,57.1,2.6
201812,55.2,0.7
201912,55.0,0.5
202012,55.8,1.3
202112,56.3,1.8
