Montana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,42.8,1.7
199112,42.9,1.8
199212,43.5,2.4
199312,39.6,-1.5
199412,42.7,1.6
199512,41.7,0.6
199612,39.2,-1.9
199712,42.2,1.1
199812,43.8,2.7
199912,44.0,2.9
200012,42.4,1.3
200112,43.6,2.5
200212,41.4,0.3
200312,43.3,2.2
200412,42.8,1.7
200512,43.1,2.0
200612,44.4,3.3
200712,44.0,2.9
200812,41.4,0.3
200912,41.1,0.0
201012,41.6,0.5
201112,41.6,0.5
201212,44.5,3.4
201312,42.4,1.3
201412,41.9,0.8
201512,44.9,3.8
201612,44.6,3.5
201712,43.2,2.1
201812,41.3,0.2
201912,39.9,-1.2
202012,43.3,2.2
202112,44.0,2.9
