New Mexico, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,53.3,0.5
199112,52.5,-0.3
199212,52.6,-0.2
199312,53.1,0.3
199412,54.4,1.6
199512,54.3,1.5
199612,54.7,1.9
199712,52.9,0.1
199812,54.2,1.4
199912,54.3,1.5
200012,55.2,2.4
200112,54.6,1.8
200212,54.4,1.6
200312,55.5,2.7
200412,53.5,0.7
200512,54.7,1.9
200612,54.7,1.9
200712,54.2,1.4
200812,53.6,0.8
200912,54.3,1.5
201012,54.2,1.4
201112,54.6,1.8
201212,56.0,3.2
201312,53.7,0.9
201412,54.8,2.0
201512,54.9,2.1
201612,55.5,2.7
201712,56.4,3.6
201812,55.5,2.7
201912,54.4,1.6
202012,56.0,3.2
202112,55.4,2.6
