New York, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,47.3,2.8
199112,47.1,2.6
199212,43.8,-0.7
199312,44.2,-0.3
199412,44.3,-0.2
199512,45.2,0.7
199612,44.5,0.0
199712,44.3,-0.2
199812,48.3,3.8
199912,46.9,2.4
200012,44.9,0.4
200112,46.9,2.4
200212,46.8,2.3
200312,44.5,0.0
200412,45.2,0.7
200512,46.2,1.7
200612,47.6,3.1
200712,45.7,1.2
200812,45.8,1.3
200912,45.0,0.5
201012,47.2,2.7
201112,47.1,2.6
201212,48.8,4.3
201312,45.7,1.2
201412,44.5,0.0
201512,45.7,1.2
201612,47.6,3.1
201712,46.9,2.4
201812,46.2,1.7
201912,45.2,0.7
202012,47.8,3.3
202112,47.8,3.3
