Ohio, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,52.7,2.3
199112,53.1,2.7
199212,50.3,-0.1
199312,50.4,0.0
199412,50.5,0.1
199512,50.3,-0.1
199612,49.5,-0.9
199712,49.9,-0.5
199812,54.1,3.7
199912,52.3,1.9
200012,50.8,0.4
200112,52.4,2.0
200212,52.5,2.1
200312,50.2,-0.2
200412,51.3,0.9
200512,51.8,1.4
200612,52.7,2.3
200712,52.3,1.9
200812,50.6,0.2
200912,50.5,0.1
201012,51.7,1.3
201112,52.3,1.9
201212,54.0,3.6
201312,50.9,0.5
201412,49.2,-1.2
201512,51.6,1.2
201612,53.6,3.2
201712,53.2,2.8
201812,52.2,1.8
201912,52.4,2.0
202012,53.0,2.6
202112,53.2,2.8
