South Dakota, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,46.9,2.3
199112,46.8,2.2
199212,45.6,1.0
199312,42.3,-2.3
199412,44.9,0.3
199512,44.7,0.1
199612,41.6,-3.0
199712,44.8,0.2
199812,47.4,2.8
199912,47.8,3.2
200012,46.0,1.4
200112,46.5,1.9
200212,46.2,1.6
200312,46.1,1.5
200412,46.3,1.7
200512,47.3,2.7
200612,48.1,3.5
200712,46.8,2.2
200812,43.8,-0.8
200912,43.6,-1.0
201012,45.1,0.5
201112,44.8,0.2
201212,49.3,4.7
201312,44.0,-0.6
201412,43.7,-0.9
201512,47.5,2.9
201612,48.4,3.8
201712,46.8,2.2
201812,44.1,-0.5
201912,42.3,-2.3
202012,46.8,2.2
202112,48.0,3.4
