Colorado, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,45.6,1.0
199112,45.0,0.4
199212,45.3,0.7
199312,43.8,-0.8
199412,46.5,1.9
199512,45.7,1.1
199612,45.8,1.2
199712,44.8,0.2
199812,46.2,1.6
199912,46.6,2.0
200012,47.0,2.4
200112,46.8,2.2
200212,46.1,1.5
200312,47.0,2.4
200412,45.8,1.2
200512,46.8,2.2
200612,46.5,1.9
200712,46.2,1.6
200812,44.9,0.3
200912,45.2,0.6
201012,46.2,1.6
201112,45.4,0.8
201212,48.3,3.7
201312,45.1,0.5
201412,46.1,1.5
201512,47.4,2.8
201612,47.3,2.7
201712,47.9,3.3
201812,47.2,2.6
201912,45.3,0.7
202012,47.3,2.7
202112,47.4,2.8
