Idaho, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,43.5,0.9
199112,43.3,0.7
199212,45.0,2.4
199312,40.9,-1.7
199412,44.3,1.7
199512,43.6,1.0
199612,43.2,0.6
199712,43.2,0.6
199812,44.3,1.7
199912,43.6,1.0
200012,43.9,1.3
200112,44.2,1.6
200212,43.0,0.4
200312,45.4,2.8
200412,44.2,1.6
200512,43.6,1.0
200612,44.2,1.6
200712,44.8,2.2
200812,42.5,-0.1
200912,42.8,0.2
201012,43.3,0.7
201112,42.4,-0.2
201212,45.1,2.5
201312,43.7,1.1
201412,45.1,2.5
201512,46.4,3.8
201612,45.1,2.5
201712,44.3,1.7
201812,44.5,1.9
201912,43.0,0.4
202012,44.3,1.7
202112,45.4,2.8
