Louisiana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,67.8,1.4
199112,66.9,0.5
199212,65.8,-0.6
199312,65.6,-0.8
199412,66.5,0.1
199512,66.8,0.4
199612,66.2,-0.2
199712,66.0,-0.4
199812,68.6,2.2
199912,67.8,1.4
200012,67.2,0.8
200112,66.7,0.3
200212,66.6,0.2
200312,66.4,0.0
200412,67.1,0.7
200512,67.5,1.1
200612,67.8,1.4
200712,67.4,1.0
200812,66.6,0.2
200912,66.8,0.4
201012,66.5,0.1
201112,67.7,1.3
201212,68.7,2.3
201312,66.2,-0.2
201412,65.1,-1.3
201512,68.1,1.7
201612,68.7,2.3
201712,68.7,2.3
201812,67.8,1.4
201912,67.7,1.3
202012,68.2,1.8
202112,67.4,1.0
