Michigan, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,45.7,2.1
199112,45.8,2.2
199212,43.3,-0.3
199312,43.2,-0.4
199412,43.9,0.3
199512,44.2,0.6
199612,42.5,-1.1
199712,43.5,-0.1
199812,48.2,4.6
199912,46.4,2.8
200012,45.0,1.4
200112,46.8,3.2
200212,45.7,2.1
200312,44.0,0.4
200412,44.6,1.0
200512,46.0,2.4
200612,47.0,3.4
200712,46.1,2.5
200812,44.0,0.4
200912,43.8,0.2
201012,47.1,3.5
201112,45.6,2.0
201212,48.4,4.8
201312,44.1,0.5
201412,41.9,-1.7
201512,45.1,1.5
201612,47.4,3.8
201712,46.3,2.7
201812,45.1,1.5
201912,43.9,0.3
202012,46.5,2.9
202112,47.4,3.8
