Nebraska, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,50.0,1.6
199112,50.1,1.7
199212,48.9,0.5
199312,46.0,-2.4
199412,49.2,0.8
199512,48.6,0.2
199612,46.6,-1.8
199712,48.6,0.2
199812,50.6,2.2
199912,51.0,2.6
200012,49.9,1.5
200112,50.3,1.9
200212,50.0,1.6
200312,49.8,1.4
200412,49.8,1.4
200512,50.7,2.3
200612,51.1,2.7
200712,50.0,1.6
200812,47.7,-0.7
200912,47.6,-0.8
201012,49.3,0.9
201112,48.8,0.4
201212,52.7,4.3
201312,48.5,0.1
201412,48.0,-0.4
201512,50.8,2.4
201612,51.6,3.2
201712,50.7,2.3
201812,48.3,-0.1
201912,47.5,-0.9
202012,50.6,2.2
202112,51.1,2.7
