New Jersey, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,54.4,3.0
199112,54.4,3.0
199212,51.2,-0.2
199312,52.2,0.8
199412,52.2,0.8
199512,52.5,1.1
199612,51.5,0.1
199712,52.0,0.6
199812,55.2,3.8
199912,54.1,2.7
200012,52.2,0.8
200112,53.6,2.2
200212,54.3,2.9
200312,51.8,0.4
200412,53.0,1.6
200512,53.4,2.0
200612,55.0,3.6
200712,53.6,2.2
200812,53.6,2.2
200912,52.7,1.3
201012,54.7,3.3
201112,54.9,3.5
201212,55.9,4.5
201312,53.2,1.8
201412,51.9,0.5
201512,53.9,2.5
201612,54.9,3.5
201712,54.6,3.2
201812,54.2,2.8
201912,54.3,2.9
202012,55.5,4.1
202112,55.1,3.7
