Oklahoma, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,60.7,1.0
199112,60.3,0.6
199212,59.3,-0.4
199312,58.1,-1.6
199412,59.7,0.0
199512,59.4,-0.3
199612,59.0,-0.7
199712,58.7,-1.0
199812,62.1,2.4
199912,61.3,1.6
200012,60.3,0.6
200112,60.8,1.1
200212,59.4,-0.3
200312,59.9,0.2
200412,60.1,0.4
200512,60.8,1.1
200612,62.2,2.5
200712,60.0,0.3
200812,59.6,-0.1
200912,59.4,-0.3
201012,60.3,0.6
201112,61.6,1.9
201212,63.2,3.5
201312,58.8,-0.9
201412,58.9,-0.8
201512,60.8,1.1
201612,62.3,2.6
201712,61.8,2.1
201812,60.2,0.5
201912,59.9,0.2
202012,60.7,1.0
202112,60.8,1.1
