Oregon, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,47.4,0.9
199112,47.6,1.1
199212,49.4,2.9
199312,45.5,-1.0
199412,47.8,1.3
199512,48.1,1.6
199612,47.6,1.1
199712,47.8,1.3
199812,47.8,1.3
199912,47.2,0.7
200012,47.5,1.0
200112,47.8,1.3
200212,47.7,1.2
200312,49.0,2.5
200412,48.4,1.9
200512,47.7,1.2
200612,48.0,1.5
200712,47.8,1.3
200812,46.8,0.3
200912,47.3,0.8
201012,47.1,0.6
201112,46.3,-0.2
201212,48.0,1.5
201312,47.6,1.1
201412,49.6,3.1
201512,50.4,3.9
201612,48.8,2.3
201712,48.0,1.5
201812,48.4,1.9
201912,47.1,0.6
202012,48.8,2.3
202112,49.2,2.7
