"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"00000","United States",699,621,528,402,375,427,477,539,579,531,561,600,730,930,1133,1218,1261,1278,1340,1448,1406,1533,1704,1793,1869,1855,1952,2059,2138,2160,2260,2321,2383,2498,2589,2735,2918,3134,3328,3617,3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51573,53817,55724,59147,63444
"01000","Alabama",319,263,220,159,164,207,216,249,266,242,251,281,379,532,676,753,799,763,809,881,838,919,1071,1137,1193,1167,1305,1390,1460,1496,1553,1585,1616,1695,1782,1914,2048,2184,2311,2536,2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40252,41607,43157,45524,48608
"02000","Alaska *","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2899,3401,3255,3169,2927,2886,3022,2897,3001,3126,3521,3347,3378,3518,3835,4016,4276,4545,4790,5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57278,59783,61639,63391,67138
"04000","Arizona",598,518,430,322,309,362,416,462,506,479,491,506,649,953,1045,1076,1150,1131,1199,1354,1343,1408,1677,1779,1778,1766,1833,1937,1984,1988,2076,2162,2210,2277,2315,2427,2528,2701,2879,3233,3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24173,24960,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33876,35321,36545,37139,38756,40334,41473,43301,45299,47242,51332,54301
"05000","Arkansas",303,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,881,818,849,970,1043,1084,1100,1202,1262,1280,1339,1436,1424,1535,1600,1676,1799,1902,2109,2238,2419,2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32372,34279,36582,36677,38749,39968,40873,42056,43661,45037,47522,51148
"06000","California",994,889,753,584,550,605,665,776,801,779,790,856,1034,1324,1589,1616,1620,1706,1724,1816,1800,1947,2166,2303,2345,2323,2478,2597,2683,2705,2847,2931,2986,3110,3211,3383,3531,3784,4001,4334,4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29092,30773,33410,34046,34131,35272,37070,38932,41746,43385,43567,41689,43246,45557,48121,48502,51266,54546,56560,58813,61509,64333,69958,76386
"08000","Colorado",631,574,472,357,353,372,445,542,534,508,519,548,655,917,1067,1087,1213,1231,1372,1489,1478,1584,1881,1973,1905,1881,1979,2078,2223,2272,2379,2461,2540,2602,2673,2779,2942,3127,3294,3539,3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55294,58471,61087,64034,69016
"09000","Connecticut",1029,927,807,627,591,661,715,815,870,779,847,931,1159,1440,1621,1622,1592,1600,1721,1742,1682,1918,2191,2336,2431,2389,2516,2730,2859,2673,2769,2860,2978,3108,3187,3336,3514,3797,4118,4328,4898,5158,5394,5800,6319,6879,7367,7951,8752,9720,10908,12365,13821,14878,15798,17572,18743,20024,21693,23738,25659,26394,26588,28560,29417,30188,31780,33191,35228,37827,39700,43070,45153,44697,44997,47238,49738,53696,57684,60970,59684,61743,63132,64121,62647,65498,67321,68680,70163,73176,74930,77664,82082
"10000","Delaware",1031,858,776,591,566,647,706,872,955,801,907,1038,1179,1312,1491,1529,1552,1579,1677,1679,1804,2082,2168,2258,2350,2329,2542,2797,2697,2728,2793,2873,2888,3014,3140,3302,3561,3687,3868,4148,4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40942,43962,44070,44404,46015,47868,48734,50516,52839,53539,55810,59002
"11000","District of Columbia",1324,1314,1253,1107,945,963,1031,1143,1211,1142,1164,1221,1271,1474,1630,1670,1754,1826,1878,2120,2286,2427,2547,2693,2599,2621,2623,2840,2939,3027,3106,3125,3236,3438,3605,3827,4129,4344,4655,4968,4939,5528,6191,6781,7246,8004,8834,9548,10469,11349,12207,13235,14279,15286,16117,17566,18567,19426,20534,22698,24276,26132,27521,29067,30349,31370,32077,33872,35739,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63368,67005,68148,67774,71469,75623,78186,79967,82512,83270,89417,96873
"12000","Florida",519,468,397,317,289,348,378,453,491,466,502,531,634,837,1057,1154,1215,1200,1195,1240,1246,1351,1440,1539,1636,1628,1743,1870,1915,1967,2091,2105,2130,2209,2299,2449,2599,2781,3007,3355,3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49020,51444,53375,56096,60761
"13000","Georgia",343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,997,983,1087,1240,1322,1369,1351,1475,1552,1580,1631,1709,1749,1799,1901,2024,2148,2331,2545,2750,2986,3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34829,36842,37495,37794,39969,41941,43033,44996,46824,48697,51704,55289
"15000","Hawaii *","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1580,1839,2056,2114,2110,2105,2130,2161,2121,2290,2516,2661,2750,2949,3125,3412,3674,3915,4338,4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41574,42809,43812,43931,46044,47777,49122,51055,52174,53888,56840,60389
