State,Biodiesel,CNG,E85,Electric,Hydrogen,LNG,Propane,Total
Alabama,11,3,6,0,0,0,40,60

Alaska,0,1,0,0,0,0,10,11

Arizona,10,40,23,5,1,5,51,135

Arkansas,2,3,7,0,0,0,37,49

California,36,184,13,376,26,28,199,862

Colorado,18,18,65,0,0,0,43,144

Connecticut,1,9,4,3,1,0,13,31

Delaware,3,1,1,0,0,0,2,7

District of Columbia,1,1,3,0,1,0,0,6

Florida,12,15,18,3,2,0,47,97

Georgia,28,18,28,0,0,0,37,111

Hawaii,7,0,0,4,1,0,3,15

Idaho,6,7,5,0,0,1,25,44

Illinois,3,20,181,5,1,0,52,262

Indiana,6,14,111,0,0,0,31,162

Iowa,5,0,107,0,0,0,24,136

Kansas,5,2,23,0,0,0,44,74

Kentucky,1,0,11,0,0,0,13,25

Louisiana,1,5,3,0,0,0,9,18

Maine,5,1,0,0,0,0,8,14

Maryland,8,14,12,0,0,0,13,47

Massachusetts,5,11,1,12,1,0,21,51

Michigan,17,13,60,0,7,0,69,166

Minnesota,1,1,353,0,0,0,30,385

Mississippi,5,0,2,0,0,0,33,40

Missouri,5,6,87,0,1,0,65,164

Montana,4,3,1,0,0,0,29,37

Nebraska,3,2,35,0,0,0,18,58

Nevada,12,11,16,0,2,0,28,69

New Hampshire,11,3,0,8,0,0,11,33

New Jersey,1,11,0,0,0,0,10,22

New Mexico,7,11,8,0,1,0,49,76

New York,5,92,17,1,0,0,30,145

North Carolina,66,12,14,0,0,0,44,136

North Dakota,0,2,30,0,1,0,13,46

Ohio,24,8,64,0,0,0,66,162

Oklahoma,6,51,6,0,0,0,64,127

Oregon,36,12,8,15,2,0,29,102

Pennsylvania,7,25,19,0,0,0,63,114

Rhode Island,2,6,0,2,1,0,4,15

South Carolina,73,4,72,0,0,0,20,169

South Dakota,0,0,78,0,0,0,16,94

Tennessee,34,3,25,0,0,0,42,104

Texas,52,17,35,1,0,4,484,593

Utah,7,60,5,0,1,0,22,95

Vermont,2,1,0,2,1,0,5,11

Virginia,22,9,6,1,0,0,19,57

Washington,41,14,14,2,0,0,52,123

West Virginia,1,1,3,0,0,0,5,10

Wisconsin,1,18,113,0,0,0,41,173

Wyoming,14,8,6,0,0,0,27,55

Total,633,771,1699,440,51,38,2110,5742
