State,Biodiesel,CNG,E85,Electric(stations / charging outlets),Hydrogen,LNG,Propane,Total
Alabama,6,25,32,67 / 94,0,1,101,259

Alaska,0,1,0,1 / 1,0,0,6,8

Arizona,78,36,30,309 / 781,1,7,66,999

Arkansas,4,13,43,41 / 57,0,1,37,155

California,85,284,94,"2,344 / 6,990",22,46,237,7758

Colorado,17,42,86,213 / 453,1,0,48,647

Connecticut,3,15,3,202 / 359,1,1,17,399

Delaware,1,1,1,16 / 26,1,0,7,37

District of Columbia,7,2,3,61 / 134,0,0,0,146

Florida,17,42,62,"574 / 1,262",0,1,62,1446

Georgia,24,30,52,308 / 670,0,2,58,836

Hawaii,9,1,3,192 / 431,2,0,3,449

Idaho,4,10,8,14 / 23,0,8,25,78

Illinois,12,49,234,395 / 799,1,1,104,1200

Indiana,6,28,188,126 / 231,0,2,174,629

Iowa,9,6,210,58 / 109,0,0,19,353

Kansas,7,12,25,97 / 184,0,0,35,263

Kentucky,4,5,62,40 / 106,0,1,47,225

Louisiana,2,24,8,46 / 68,0,1,33,136

Maine,3,2,0,30 / 41,0,0,15,61

Maryland,8,11,34,282 / 650,0,0,20,723

Massachusetts,12,24,9,292 / 721,1,0,21,788

Michigan,16,23,220,283 / 706,4,0,81,1050

Minnesota,10,17,278,209 / 446,0,0,29,780

Mississippi,4,8,3,33 / 35,0,0,111,161

Missouri,5,18,101,107 / 194,1,0,62,381

Montana,6,2,2,4 / 10,0,0,50,70

Nebraska,5,11,80,22 / 40,0,0,24,160

Nevada,5,9,21,88 / 258,1,4,32,330

New Hampshire,4,3,1,47 / 65,0,0,15,88

New Jersey,5,25,5,143 / 262,0,0,9,306

New Mexico,8,14,14,25 / 59,0,1,44,140

New York,37,114,83,"488 / 1,038",7,0,57,1336

North Carolina,133,39,23,284 / 682,0,0,90,967

North Dakota,3,1,77,3 / 4,0,0,19,104

Ohio,17,45,128,157 / 239,2,2,68,501

Oklahoma,6,100,25,33 / 46,0,1,143,321

Oregon,25,15,7,422 / 989,0,1,34,1071

Pennsylvania,6,46,33,239 / 381,2,0,74,542

Rhode Island,6,6,0,63 / 149,0,0,5,166

South Carolina,41,9,71,151 / 247,2,1,45,416

South Dakota,2,0,82,11 / 32,0,0,18,134

Tennessee,37,18,66,387 / 924,0,2,91,1138

Texas,17,97,136,"694 / 1,839",1,10,441,2541

Utah,3,89,3,69 / 144,0,7,24,270

Vermont,1,3,1,51 / 122,0,0,2,129

Virginia,11,23,17,234 / 593,1,0,74,719

Washington,31,23,21,"545 / 1,486",0,1,70,1632

West Virginia,2,3,9,28 / 101,0,0,12,127

Wisconsin,6,60,136,174 / 304,0,1,54,561

Wyoming,13,11,10,10 / 17,0,0,18,69

Total,783,1495,2840,"10,712 / 25,602",51,103,2931,"33,805"
