State,# of registered vehicles 2020,# of registered vehicles 2015
U.S.,"275,924,442","263,610,219"
Alabama,"5,320,340","5,400,419"
Alaska,"792,826","815,122"
Arizona,"6,053,781","5,630,647"
Arkansas,"2,913,369","2,772,214"
California,"30,398,249","29,424,012"
Colorado,"5,350,708","5,005,172"
Connecticut,"2,867,554","2,841,764"
Delaware,"1,006,135","964,316"
District of Columbia,"356,537","322,929"
Florida,"18,464,506","16,105,008"
Georgia,"8,829,596","8,137,621"
Hawaii,"1,256,140","1,242,319"
Idaho,"1,917,677","1,854,019"
Illinois,"10,587,725","10,595,254"
Indiana,"6,199,901","6,045,114"
Iowa,"3,787,224","3,636,898"
Kansas,"2,603,543","2,634,856"
Kentucky,"4,459,685","4,151,982"
Louisiana,"3,861,204","3,901,432"
Maine,"1,121,106","1,104,001"
Maryland,"4,211,377","4,135,158"
Massachusetts,"5,036,686","5,069,601"
Michigan,"8,453,239","8,294,108"
Minnesota,"5,690,749","5,281,269"
Mississippi,"2,058,975","2,068,853"
Missouri,"5,587,022","5,624,005"
Montana,"1,952,553","1,645,227"
Nebraska,"1,935,357","1,981,296"
Nevada,"2,549,357","2,316,056"
New Hampshire,"1,357,535","1,296,137"
New Jersey,"6,006,247","5,938,585"
New Mexico,"1,783,151","1,823,445"
New York,"11,324,755","10,638,765"
North Carolina,"8,739,280","7,928,973"
North Dakota,"899,083","890,803"
Ohio,"10,592,317","10,557,323"
Oklahoma,"3,730,247","2,988,512"
Oregon,"4,095,442","3,607,482"
Pennsylvania,"10,690,187","10,598,694"
Rhode Island,"866,625","875,097"
South Carolina,"4,561,299","4,162,651"
South Dakota,"1,294,282","1,082,289"
Tennessee,"5,855,373","5,612,123"
Texas,"22,419,490","21,864,841"
Utah,"2,479,604","2,229,193"
Vermont,"607,890","655,347"
Virginia,"7,606,452","7,238,905"
Washington,"7,257,401","6,725,467"
West Virginia,"1,657,362","1,613,345"
Wisconsin,"5,616,271","5,466,581"
Wyoming,"861,028","814,989"
