Vermont, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,44.0,2.7
199112,43.5,2.2
199212,40.6,-0.7
199312,41.2,-0.1
199412,41.3,0.0
199512,42.3,1.0
199612,42.0,0.7
199712,41.1,-0.2
199812,45.2,3.9
199912,44.3,3.0
200012,41.8,0.5
200112,43.8,2.5
200212,43.6,2.3
200312,41.5,0.2
200412,41.8,0.5
200512,43.4,2.1
200612,45.1,3.8
200712,42.2,0.9
200812,43.0,1.7
200912,42.3,1.0
201012,44.9,3.6
201112,44.3,3.0
201212,45.8,4.5
201312,43.2,1.9
201412,42.0,0.7
201512,42.6,1.3
201612,44.6,3.3
201712,43.8,2.5
201812,43.2,1.9
201912,41.9,0.6
202012,44.8,3.5
202112,45.0,3.7
