Wyoming, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,41.8,1.1
199112,41.7,1.0
199212,42.5,1.8
199312,38.9,-1.8
199412,42.9,2.2
199512,41.7,1.0
199612,41.0,0.3
199712,41.2,0.5
199812,42.5,1.8
199912,43.2,2.5
200012,42.5,1.8
200112,43.2,2.5
200212,41.4,0.7
200312,43.0,2.3
200412,42.4,1.7
200512,42.8,2.1
200612,43.2,2.5
200712,43.3,2.6
200812,40.7,0.0
200912,40.9,0.2
201012,42.0,1.3
201112,41.1,0.4
201212,44.8,4.1
201312,41.7,1.0
201412,42.1,1.4
201512,44.2,3.5
201612,43.9,3.2
201712,43.2,2.5
201812,42.4,1.7
201912,40.3,-0.4
202012,42.8,2.1
202112,43.6,2.9
