,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Alabama,61083.8,64168.6,67225.1,69764.4,72038.4,74152.3,77085.0,81588.9,86356.8,91148.0,95286.4,97634.2,95327.1,96804.0,98890.3,100372.5,102206.9,106036.8,110031.4,112854.1,116653.1,121648.4,126982.8,129730.7
1,Alaska,12347.8,12889.6,13127.5,13893.0,14883.3,15703.7,16522.0,17454.3,18584.7,19600.3,20790.2,21813.1,22533.6,23170.8,24458.4,25739.1,26362.2,27139.9,27826.3,27170.6,27133.0,28299.9,29108.0,28797.9
2,Arizona,69876.9,77166.0,82849.8,91205.4,95475.5,98041.6,102681.4,111133.6,121777.9,134607.4,142619.1,143884.3,135101.1,134483.2,139617.8,145243.2,150331.8,156465.4,163929.0,170624.3,180958.5,193037.3,204327.8,214073.1
3,Arkansas,32715.5,34880.9,36741.0,38766.8,40397.1,41662.0,43485.7,46064.2,48480.3,51110.2,53637.6,54778.2,54260.1,55258.1,56870.0,59196.2,60545.9,62563.9,64679.8,66179.6,68619.4,70996.5,73514.4,75295.1
4,California,574432.9,625411.7,681068.5,768199.0,786778.9,793668.6,826979.8,881668.6,926929.3,980936.4,1029657.7,1042144.9,990073.0,1010508.8,1059293.2,1113411.5,1157678.6,1225532.5,1313766.3,1371402.0,1452842.6,1531503.1,1615149.1,1658813.1
5,Colorado,75823.9,83882.3,91784.8,103429.2,107435.0,106707.4,108800.2,114072.4,120699.0,128021.9,135559.9,140506.9,136685.9,138375.6,143060.0,150874.5,157077.6,168061.9,176758.6,182139.9,193502.0,206054.1,219975.9,224584.5
6,Connecticut,77438.9,82629.7,87404.9,94354.0,97529.5,96987.4,99734.0,106028.1,110615.4,115349.1,122630.9,124157.2,118313.2,120487.2,124608.4,127400.6,129317.3,133233.1,137749.8,139068.1,140689.0,143619.2,147056.2,146869.8
7,Delaware,15575.0,16806.6,17926.4,19093.4,20001.5,20554.1,21378.3,22709.7,24150.2,25518.0,26096.7,26254.3,25197.3,25509.5,26691.5,27443.2,28040.4,29389.2,30346.3,30517.3,32026.2,33276.0,34588.9,34740.9
8,District of Columbia,36301.4,37987.6,41056.3,43492.4,46445.4,49248.8,51880.1,55561.0,58969.9,61493.0,64695.0,67798.5,69085.1,72796.0,75879.7,77014.4,78320.2,81738.0,84939.2,88185.7,91690.8,96532.1,99285.9,100994.5
9,Florida,221570.0,240582.2,255858.3,277809.5,294909.5,307774.1,325492.8,350823.8,380964.1,404090.7,417548.4,414893.5,392861.0,397666.1,405488.7,422060.4,438575.0,460825.6,490204.4,513290.5,542014.4,574986.9,605957.5,616070.9
