State,Laws and Regulations,State Incentives,Utility/Private Incentives,Total
Alabama,3,2,3,5.0
Alaska,2,0,4,2.0
Arizona,9,5,10,14.0
Arkansas,4,1,1,5.0
California,47,40,46,87.0
Colorado,19,9,9,28.0
Connecticut,16,5,7,21.0
Delaware,4,5,3,9.0
Florida,6,1,8,7.0
Georgia,1,3,3,4.0
Hawaii,10,1,2,11.0
Idaho,3,3,2,6.0
Illinois,9,6,2,15.0
Indiana,5,3,4,8.0
Iowa,8,2,3,10.0
Kansa,3,0,1,3.0
Kentucky,2,0,1,2.0
Louisiana,0,4,3,4.0
Maine,9,4,2,13.0
Maryland,9,9,9,18.0
Massachusetts,12,9,6,21.0
Michigan,2,4,10,6.0
Minnesota,9,3,12,12.0
Mississippi,3,0,2,3.0
Missouri,4,2,2,6.0
Montana,5,1,1,6.0
Nebraska,1,1,3,2.0
Nevada,11,3,6,14.0
New Hampshire,7,0,5,7.0
New Jersey,18,9,4,27.0
New Mexico,8,5,2,13.0
New York,11,9,22,20.0
North Carolina,13,6,8,19.0
North Dakota,4,0,1,4.0
Ohio,5,2,3,7.0
Oklahoma,9,4,4,13.0
Oregon,21,5,11,26.0
Pennsylvania,5,5,4,10.0
Rhode Island,11,1,3,12.0
South Carolina,7,3,2,10.0
South Dakota,2,1,1,3.0
Tennessee,2,1,3,3.0
Texas,4,6,8,10.0
Utah,9,6,3,15.0
Vermont,12,4,10,16.0
Virginia,19,4,4,23.0
Washington,19,7,9,26.0
West Virginia,6,0,2,6.0
Wisconsin,4,6,12,10.0
Wyoming,4,1,2,5.0
