Georgia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,65.7,2.3
199112,64.5,1.1
199212,62.7,-0.7
199312,63.2,-0.2
199412,63.6,0.2
199512,63.5,0.1
199612,62.6,-0.8
199712,63.2,-0.2
199812,65.7,2.3
199912,64.5,1.1
200012,63.3,-0.1
200112,63.9,0.5
200212,64.4,1.0
200312,63.3,-0.1
200412,64.0,0.6
200512,63.8,0.4
200612,64.5,1.1
200712,64.8,1.4
200812,63.5,0.1
200912,63.4,0.0
201012,63.0,-0.4
201112,64.6,1.2
201212,65.5,2.1
201312,63.4,0.0
201412,63.0,-0.4
201512,65.3,1.9
201612,65.8,2.4
201712,65.8,2.4
201812,65.1,1.7
201912,66.2,2.8
202012,65.6,2.2
202112,64.6,1.2
