New Hampshire, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,45.0,2.7
199112,44.5,2.2
199212,41.8,-0.5
199312,42.5,0.2
199412,42.7,0.4
199512,43.3,1.0
199612,43.0,0.7
199712,42.3,0.0
199812,46.0,3.7
199912,45.4,3.1
200012,43.0,0.7
200112,44.6,2.3
200212,44.5,2.2
200312,42.5,0.2
200412,43.0,0.7
200512,44.0,1.7
200612,45.8,3.5
200712,43.1,0.8
200812,43.8,1.5
200912,43.0,0.7
201012,46.0,3.7
201112,44.9,2.6
201212,46.6,4.3
201312,44.2,1.9
201412,43.0,0.7
201512,43.6,1.3
201612,45.7,3.4
201712,44.9,2.6
201812,44.4,2.1
201912,43.2,0.9
202012,45.8,3.5
202112,46.1,3.8
