Rhode Island, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,51.5,2.9
199112,51.4,2.8
199212,48.4,-0.2
199312,49.3,0.7
199412,49.6,1.0
199512,49.9,1.3
199612,49.1,0.5
199712,49.4,0.8
199812,52.0,3.4
199912,51.8,3.2
200012,49.5,0.9
200112,51.1,2.5
200212,51.2,2.6
200312,49.0,0.4
200412,49.3,0.7
200512,50.1,1.5
200612,51.8,3.2
200712,50.3,1.7
200812,50.8,2.2
200912,49.8,1.2
201012,52.0,3.4
201112,51.6,3.0
201212,52.9,4.3
201312,50.6,2.0
201412,49.7,1.1
201512,50.4,1.8
201612,52.2,3.6
201712,51.5,2.9
201812,51.6,3.0
201912,50.6,2.0
202012,52.8,4.2
202112,52.6,4.0
