Texas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,65.6,1.0
199112,64.8,0.2
199212,64.4,-0.2
199312,64.1,-0.5
199412,65.6,1.0
199512,65.2,0.6
199612,65.4,0.8
199712,63.9,-0.7
199812,67.0,2.4
199912,66.6,2.0
200012,66.5,1.9
200112,65.7,1.1
200212,65.0,0.4
200312,65.5,0.9
200412,65.2,0.6
200512,66.0,1.4
200612,67.1,2.5
200712,64.8,0.2
200812,65.5,0.9
200912,65.8,1.2
201012,65.1,0.5
201112,67.3,2.7
201212,67.8,3.2
201312,65.1,0.5
201412,64.8,0.2
201512,65.8,1.2
201612,67.2,2.6
201712,67.3,2.7
201812,66.0,1.4
201912,65.9,1.3
202012,66.9,2.3
202112,66.2,1.6
