Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,57.4,2.6
199112,57.0,2.2
199212,54.4,-0.4
199312,55.1,0.3
199412,55.3,0.5
199512,55.0,0.2
199612,54.0,-0.8
199712,54.5,-0.3
199812,57.4,2.6
199912,56.3,1.5
200012,54.9,0.1
200112,55.8,1.0
200212,56.6,1.8
200312,55.0,0.2
200412,55.9,1.1
200512,55.9,1.1
200612,56.6,1.8
200712,56.8,2.0
200812,55.7,0.9
200912,55.2,0.4
201012,55.9,1.1
201112,57.0,2.2
201212,57.6,2.8
201312,55.1,0.3
201412,54.4,-0.4
201512,56.5,1.7
201612,57.1,2.3
201712,57.3,2.5
201812,56.6,1.8
201912,57.5,2.7
202012,57.4,2.6
202112,57.1,2.3
