West Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,53.9,2.3
199112,53.8,2.2
199212,51.3,-0.3
199312,51.9,0.3
199412,51.8,0.2
199512,51.6,0.0
199612,50.7,-0.9
199712,51.0,-0.6
199812,54.2,2.6
199912,53.0,1.4
200012,51.8,0.2
200112,52.7,1.1
200212,53.2,1.6
200312,51.6,0.0
200412,52.7,1.1
200512,52.8,1.2
200612,53.0,1.4
200712,53.3,1.7
200812,51.8,0.2
200912,51.7,0.1
201012,52.0,0.4
201112,53.5,1.9
201212,54.3,2.7
201312,51.8,0.2
201412,50.8,-0.8
201512,53.1,1.5
201612,54.1,2.5
201712,54.0,2.4
201812,53.3,1.7
201912,54.2,2.6
202012,54.0,2.4
202112,53.6,2.0
