Wisconsin, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,44.5,2.1
199112,43.7,1.3
199212,42.7,0.3
199312,41.7,-0.7
199412,43.0,0.6
199512,42.8,0.4
199612,40.5,-1.9
199712,42.6,0.2
199812,47.3,4.9
199912,45.4,3.0
200012,43.9,1.5
200112,45.3,2.9
200212,44.6,2.2
200312,43.2,0.8
200412,43.5,1.1
200512,45.1,2.7
200612,46.0,3.6
200712,44.7,2.3
200812,41.8,-0.6
200912,42.4,0.0
201012,45.5,3.1
201112,44.1,1.7
201212,47.4,5.0
201312,41.8,-0.6
201412,40.2,-2.2
201512,44.8,2.4
201612,46.2,3.8
201712,44.7,2.3
201812,43.2,0.8
201912,42.1,-0.3
202012,44.8,2.4
202112,45.7,3.3
